study_id,evidence_id,arm_id,arm_role,arm_label,intervention_class,species,strain,total_cfu_per_day,log10_cfu_per_day,prebiotic_type,prebiotic_dose_g_day,duration_weeks,dosage_form,sample_size,arm_data_status,source_title
NCT:NCT04962633,NCT:NCT04962633,NCT:NCT04962633::arm:intervention,intervention,probiotic,probiotic,,,,,,,,,40.0,queued_for_extraction,Dietary Intervention With Probiotic Pasta and Evaluation of the Effects on Metabolic and Inflammatory Status
NCT:NCT04962633,NCT:NCT04962633,NCT:NCT04962633::arm:control,control,placebo or usual-care control,placebo,,,,,,,,,40.0,queued_for_extraction,Dietary Intervention With Probiotic Pasta and Evaluation of the Effects on Metabolic and Inflammatory Status
NCT:NCT05114018,NCT:NCT05114018,NCT:NCT05114018::arm:intervention,intervention,microbial intervention,probiotic,,,,,,,,,143.0,queued_for_extraction,Effect of Pasteurized Akkermansia Muciniphila on Insulin Resistance in Otherwise Healthy Subjects With Dysglycaemia
NCT:NCT05114018,NCT:NCT05114018,NCT:NCT05114018::arm:control,control,placebo or usual-care control,placebo,,,,,,,,,143.0,queued_for_extraction,Effect of Pasteurized Akkermansia Muciniphila on Insulin Resistance in Otherwise Healthy Subjects With Dysglycaemia
NCT:NCT05440630,NCT:NCT05440630,NCT:NCT05440630::arm:intervention,intervention,probiotic,probiotic,,,,,,,,,0.0,queued_for_extraction,Study of Efficacy of a Probiotic and Postbiotic in Overweight and Obese Individuals
NCT:NCT05440630,NCT:NCT05440630,NCT:NCT05440630::arm:control,control,placebo or usual-care control,placebo,,,,,,,,,0.0,queued_for_extraction,Study of Efficacy of a Probiotic and Postbiotic in Overweight and Obese Individuals
NCT:NCT06815926,NCT:NCT06815926,NCT:NCT06815926::arm:intervention,intervention,probiotic,probiotic,,,,,,,,,106.0,queued_for_extraction,Clinical Trial to Evaluate the Effect of a Probiotic Product on Weight
NCT:NCT06815926,NCT:NCT06815926,NCT:NCT06815926::arm:control,control,placebo or usual-care control,placebo,,,,,,,,,106.0,queued_for_extraction,Clinical Trial to Evaluate the Effect of a Probiotic Product on Weight
PMID:34358838,PMID:34358838,PMID:34358838::arm:intervention,intervention,probiotic,probiotic,,,,,,,,,1720.0,queued_for_extraction,Effects of probiotics on body adiposity and cardiovascular risk markers in individuals with overweight and obesity: A systematic review and meta-analysis of randomized controlled trials.
PMID:34358838,PMID:34358838,PMID:34358838::arm:control,control,placebo or usual-care control,placebo,,,,,,,,,1720.0,queued_for_extraction,Effects of probiotics on body adiposity and cardiovascular risk markers in individuals with overweight and obesity: A systematic review and meta-analysis of randomized controlled trials.
EUROPEPMC:39792908,EUROPEPMC:39792908,EUROPEPMC:39792908::arm:intervention,intervention,probiotic,probiotic,,,,,,,,,31.0,queued_for_extraction,"The efficacy of Lacticaseibacillus paracasei MSMC39-1 and Bifidobacterium animalis TA-1 probiotics in modulating gut microbiota and reducing the risk of the characteristics of metabolic syndrome: A randomized, double-blinded, placebo-controlled study."
EUROPEPMC:39792908,EUROPEPMC:39792908,EUROPEPMC:39792908::arm:control,control,placebo or usual-care control,placebo,,,,,,,,,31.0,queued_for_extraction,"The efficacy of Lacticaseibacillus paracasei MSMC39-1 and Bifidobacterium animalis TA-1 probiotics in modulating gut microbiota and reducing the risk of the characteristics of metabolic syndrome: A randomized, double-blinded, placebo-controlled study."
EUROPEPMC:39857760,EUROPEPMC:39857760,EUROPEPMC:39857760::arm:intervention,intervention,synbiotic,synbiotic,,,,,,,,,853.0,queued_for_extraction,"The Effect of Prebiotics, Alone or as Part of Synbiotics, on Cardiometabolic Parameters in Women with Polycystic Ovary Syndrome: A Systematic Review and Meta-Analysis of Randomized Controlled Trials."
EUROPEPMC:39857760,EUROPEPMC:39857760,EUROPEPMC:39857760::arm:control,control,placebo or usual-care control,placebo,,,,,,,,,853.0,queued_for_extraction,"The Effect of Prebiotics, Alone or as Part of Synbiotics, on Cardiometabolic Parameters in Women with Polycystic Ovary Syndrome: A Systematic Review and Meta-Analysis of Randomized Controlled Trials."
EUROPEPMC:40400804,EUROPEPMC:40400804,EUROPEPMC:40400804::arm:intervention,intervention,probiotic,probiotic,,,,,,,,,53.0,queued_for_extraction,"Impact of a Probiotic-Fiber Blend on Body Weight, Metabolic Regulation, and Digestive Function in Obese Adults: A Randomized, Placebo-Controlled, Multicentric Trial."
EUROPEPMC:40400804,EUROPEPMC:40400804,EUROPEPMC:40400804::arm:control,control,placebo or usual-care control,placebo,,,,,,,,,53.0,queued_for_extraction,"Impact of a Probiotic-Fiber Blend on Body Weight, Metabolic Regulation, and Digestive Function in Obese Adults: A Randomized, Placebo-Controlled, Multicentric Trial."
EUROPEPMC:41512635,EUROPEPMC:41512635,EUROPEPMC:41512635::arm:intervention,intervention,synbiotic,synbiotic,,,,,,,,,,queued_for_extraction,"Effects of a novel synbiotic intervention on abdominal visceral fat reductions and gut microbiota in overweight and obese adults: A randomized, double-blind, placebo-controlled trial."
EUROPEPMC:41512635,EUROPEPMC:41512635,EUROPEPMC:41512635::arm:control,control,placebo or usual-care control,placebo,,,,,,,,,,queued_for_extraction,"Effects of a novel synbiotic intervention on abdominal visceral fat reductions and gut microbiota in overweight and obese adults: A randomized, double-blind, placebo-controlled trial."
NCT:NCT02768818,NCT:NCT02768818,NCT:NCT02768818::arm:intervention,intervention,probiotic,probiotic,,,,,,,,,205.0,queued_for_extraction,Modulation of the Intestinal Flora With the Probiotic VIVOMIXX™ in Pregnant Women at Risk of Metabolic Complications
NCT:NCT02768818,NCT:NCT02768818,NCT:NCT02768818::arm:control,control,placebo or usual-care control,placebo,,,,,,,,,205.0,queued_for_extraction,Modulation of the Intestinal Flora With the Probiotic VIVOMIXX™ in Pregnant Women at Risk of Metabolic Complications
NCT:NCT04611477,NCT:NCT04611477,NCT:NCT04611477::arm:intervention,intervention,synbiotic,synbiotic,,,,,,,,,180.0,queued_for_extraction,Effect of Synbiotic 365 on Body Composition in Overweight and Obese Individuals
NCT:NCT04611477,NCT:NCT04611477,NCT:NCT04611477::arm:control,control,placebo or usual-care control,placebo,,,,,,,,,180.0,queued_for_extraction,Effect of Synbiotic 365 on Body Composition in Overweight and Obese Individuals
NCT:NCT05417360,NCT:NCT05417360,NCT:NCT05417360::arm:intervention,intervention,microbial intervention,probiotic,,,,,,,,,90.0,queued_for_extraction,Akkermansia and Weight Maintenance
NCT:NCT05417360,NCT:NCT05417360,NCT:NCT05417360::arm:control,control,placebo or usual-care control,placebo,,,,,,,,,90.0,queued_for_extraction,Akkermansia and Weight Maintenance
NCT:NCT06989177,NCT:NCT06989177,NCT:NCT06989177::arm:intervention,intervention,probiotic,probiotic,,,,,,,,,140.0,queued_for_extraction,Probiotic Intervention on Body Weight
NCT:NCT06989177,NCT:NCT06989177,NCT:NCT06989177::arm:control,control,placebo or usual-care control,placebo,,,,,,,,,140.0,queued_for_extraction,Probiotic Intervention on Body Weight
NCT:NCT07400367,NCT:NCT07400367,NCT:NCT07400367::arm:intervention,intervention,probiotic,probiotic,,,,,,,,,80.0,queued_for_extraction,"Impact of a Probiotic Supplementation With Lifestyle Modification on Liver Steatosis, Fibrosis, and Metabolic Health in Patients With Metabolic Dysfunction-Associated Steatotic Liver Disease (MASLD)"
NCT:NCT07400367,NCT:NCT07400367,NCT:NCT07400367::arm:control,control,placebo or usual-care control,placebo,,,,,,,,,80.0,queued_for_extraction,"Impact of a Probiotic Supplementation With Lifestyle Modification on Liver Steatosis, Fibrosis, and Metabolic Health in Patients With Metabolic Dysfunction-Associated Steatotic Liver Disease (MASLD)"
PMID:30928918,PMID:30928918,PMID:30928918::arm:intervention,intervention,probiotic,probiotic,,,,,,,,,,queued_for_extraction,"Impact of bacterial probiotics on obesity, diabetes and non-alcoholic fatty liver disease related variables: a systematic review and meta-analysis of randomised controlled trials."
PMID:30928918,PMID:30928918,PMID:30928918::arm:control,control,placebo or usual-care control,placebo,,,,,,,,,,queued_for_extraction,"Impact of bacterial probiotics on obesity, diabetes and non-alcoholic fatty liver disease related variables: a systematic review and meta-analysis of randomised controlled trials."
PMID:34919684,PMID:34919684,PMID:34919684::arm:intervention,intervention,probiotic,probiotic,,,,,,,,,,queued_for_extraction,A Specifically Tailored Multistrain Probiotic and Micronutrient Mixture Affects Nonalcoholic Fatty Liver Disease-Related Markers in Patients with Obesity after Mini Gastric Bypass Surgery.
PMID:34919684,PMID:34919684,PMID:34919684::arm:control,control,placebo or usual-care control,placebo,,,,,,,,,,queued_for_extraction,A Specifically Tailored Multistrain Probiotic and Micronutrient Mixture Affects Nonalcoholic Fatty Liver Disease-Related Markers in Patients with Obesity after Mini Gastric Bypass Surgery.
PMID:35845797,PMID:35845797,PMID:35845797::arm:intervention,intervention,synbiotic,synbiotic,Lactobacillus acidophilus; Lacticaseibacillus rhamnosus; Bifidobacterium bifidum; Bifidobacterium longum; Enterococcus faecium,,2500000000.0,9.397940008672036,,,12.0,sachet,,queued_for_extraction,"Effects of Multispecies Synbiotic Supplementation on Anthropometric Measurements, Glucose and Lipid Parameters in Children With Exogenous Obesity: A Randomized, Double Blind, Placebo-Controlled Clinical Trial (Probesity-2 Trial)."
PMID:35845797,PMID:35845797,PMID:35845797::arm:control,control,placebo or usual-care control,placebo,,,,,,,12.0,,,queued_for_extraction,"Effects of Multispecies Synbiotic Supplementation on Anthropometric Measurements, Glucose and Lipid Parameters in Children With Exogenous Obesity: A Randomized, Double Blind, Placebo-Controlled Clinical Trial (Probesity-2 Trial)."
PMID:39340527,PMID:39340527,PMID:39340527::arm:intervention,intervention,synbiotic,synbiotic,,,,,,,,,,queued_for_extraction,"Effects of probiotics, prebiotics, and synbiotics on cardiometabolic risk factors in children and adolescents with overweight or obesity: a systematic review and Bayesian network meta-analysis."
PMID:39340527,PMID:39340527,PMID:39340527::arm:control,control,placebo or usual-care control,placebo,,,,,,,,,,queued_for_extraction,"Effects of probiotics, prebiotics, and synbiotics on cardiometabolic risk factors in children and adolescents with overweight or obesity: a systematic review and Bayesian network meta-analysis."
EUROPEPMC:36530587,EUROPEPMC:36530587,EUROPEPMC:36530587::arm:intervention,intervention,microbial intervention,probiotic,,,,,,,,,11.0,queued_for_extraction,Microbiome-Targeted Therapies as an Adjunct to Traditional Weight Loss Interventions: A Systematic Review and Meta-Analysis.
EUROPEPMC:36530587,EUROPEPMC:36530587,EUROPEPMC:36530587::arm:control,control,placebo or usual-care control,placebo,,,,,,,,,11.0,queued_for_extraction,Microbiome-Targeted Therapies as an Adjunct to Traditional Weight Loss Interventions: A Systematic Review and Meta-Analysis.
EUROPEPMC:37836532,EUROPEPMC:37836532,EUROPEPMC:37836532::arm:intervention,intervention,synbiotic,synbiotic,,,,,,,,,19.0,queued_for_extraction,Effects of Synbiotic Supplementation on Metabolic Syndrome Traits and Gut Microbial Profile among Overweight and Obese Hong Kong Chinese Individuals: A Randomized Trial.
EUROPEPMC:37836532,EUROPEPMC:37836532,EUROPEPMC:37836532::arm:control,control,placebo or usual-care control,placebo,,,,,,,,,19.0,queued_for_extraction,Effects of Synbiotic Supplementation on Metabolic Syndrome Traits and Gut Microbial Profile among Overweight and Obese Hong Kong Chinese Individuals: A Randomized Trial.
EUROPEPMC:40647296,EUROPEPMC:40647296,EUROPEPMC:40647296::arm:intervention,intervention,synbiotic,synbiotic,,,,,,,,,,queued_for_extraction,Impact of Probiotic/Synbiotic Supplementation on Post-Bariatric Surgery Anthropometric and Cardiometabolic Outcomes: An Updated Systematic Review and Meta-Analysis of Randomized Controlled Trials.
EUROPEPMC:40647296,EUROPEPMC:40647296,EUROPEPMC:40647296::arm:control,control,placebo or usual-care control,placebo,,,,,,,,,,queued_for_extraction,Impact of Probiotic/Synbiotic Supplementation on Post-Bariatric Surgery Anthropometric and Cardiometabolic Outcomes: An Updated Systematic Review and Meta-Analysis of Randomized Controlled Trials.
EUROPEPMC:40827948,EUROPEPMC:40827948,EUROPEPMC:40827948::arm:intervention,intervention,microbial intervention,probiotic,,,,,,,,,60.0,queued_for_extraction,Long-term efficacy of dapagliflozin combined with Bifidobacterium triple viable tablets on metabolic syndrome and gut microbiota in overweight/obese patients with type 2 diabetes.
EUROPEPMC:40827948,EUROPEPMC:40827948,EUROPEPMC:40827948::arm:control,control,placebo or usual-care control,placebo,,,,,,,,,60.0,queued_for_extraction,Long-term efficacy of dapagliflozin combined with Bifidobacterium triple viable tablets on metabolic syndrome and gut microbiota in overweight/obese patients with type 2 diabetes.
EUROPEPMC:40951500,EUROPEPMC:40951500,EUROPEPMC:40951500::arm:intervention,intervention,probiotic,probiotic,,,,,,,,,,queued_for_extraction,Probiotic
EUROPEPMC:40951500,EUROPEPMC:40951500,EUROPEPMC:40951500::arm:control,control,placebo or usual-care control,placebo,,,,,,,,,,queued_for_extraction,Probiotic
NCT:NCT01433120,NCT:NCT01433120,NCT:NCT01433120::arm:intervention,intervention,microbial intervention,probiotic,,,,,,,,,58.0,queued_for_extraction,Targeting the Gut Microbiome to Investigate the Pathways of Progression From Obesity to Metabolic Diseases in an At-risk Population.
NCT:NCT01433120,NCT:NCT01433120,NCT:NCT01433120::arm:control,control,placebo or usual-care control,placebo,,,,,,,,,58.0,queued_for_extraction,Targeting the Gut Microbiome to Investigate the Pathways of Progression From Obesity to Metabolic Diseases in an At-risk Population.
