evidence_id,outcome_domain,endpoint_type,analysis_population,comparison,intervention_effect,control_effect,effect_difference,effect_unit,between_group_p,within_group_p,direction,evidence_modifier,positive_efficacy_label,source_final_value,source_note,effect_parse_method,p_value_parse_method,structure_warning
PMID:24795503,lipid,metabolic,aggregate_trial,VSL3_vs_placebo_relative_change,,,,qualitative lipid profile,<0.05,,improve,,yes,"total cholesterol, triglyceride, LDL and VLDL decreased; HDL increased",Small four-arm trial; exact effect sizes remain table-level extraction targets.,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed
PMID:24795503,microbiome,microbiome,aggregate_trial,VSL3_vs_placebo,,,,qualitative microbiome result,,,changed,,limited,VSL#3 favorably altered gut microbial composition,Culture-based colonization/composition result; exact taxa counts require table extraction.,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed
EUROPEPMC:40676704,weight,adiposity,aggregate_trial,BL21_vs_placebo_change,-1.22,-0.98,-0.240,kg change,0.81,0.02,no significant between-group effect,between_group_not_significant; within_group_only_or_mixed,no,BL21 -1.22 +/- 2.78 vs placebo -0.98 +/- 2.06,Both groups lost weight; no BL21-specific between-group effect.,labeled_groups_split_on_vs,explicit_between_group,
EUROPEPMC:40676704,lipid,metabolic,aggregate_trial,BL21_within_group_change,-0.21,,,triglyceride change; source unit requires table confirmation,,0.04,decrease within intervention group,within_group_only_or_mixed,limited,BL21 -0.21 +/- 1.09,Within-group triglyceride signal only; not a confirmed between-group treatment effect.,single_group_or_unlabeled_value,explicit_between_group,control effect unavailable
EUROPEPMC:40676704,microbiome,microbiome,aggregate_trial,BL21_vs_placebo,,,,qualitative microbiome result,,,changed,,limited,"beta-diversity differed; Parasutterella, Parabacteroides, Blautia, Dorea and Butyricicoccus enriched",Multi-omics result; taxa and pathway findings are exploratory.,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed
PMID:38713231,body_fat,adiposity,aggregate_trial,16_g_day_inulin_vs_maltodextrin_change,,,,qualitative body-composition result,0.014,,decrease,,yes,trunk fat mass at 6 months and trunk fat percentage at 3 months favored prebiotic,Population had knee osteoarthritis and obesity; mostly women.,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed
PMID:38713231,microbiome,microbiome,PP,16_g_day_inulin_vs_maltodextrin,37,,,qualitative microbiome result,,,changed,,limited,37 ASVs differed between groups; Bifidobacterium correlated with physical function,Taxa result is exploratory; correlation does not establish mediation.,single_group_or_unlabeled_value,unlabeled_first_p_value,control effect unavailable
PMID:35247098,weight,adiposity,aggregate_trial,27_g_day_wheat_aleurone_vs_cellulose,,,,qualitative,,,no significant between-group effect,,no,no significant anthropometric differences,Aleurone did not improve clinical anthropometric markers.,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed
PMID:35247098,BMI,adiposity,aggregate_trial,27_g_day_wheat_aleurone_vs_cellulose,,,,qualitative,,,no significant between-group effect,,no,no significant BMI difference,Primary homocysteine and other clinical outcomes were null.,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed
PMID:35247098,microbiome,microbiome,aggregate_trial,27_g_day_wheat_aleurone_vs_cellulose,,,,qualitative microbiome result,0.0499,,changed,,yes,Shannon diversity higher; Roseburia inulinivorans enriched,No significant fecal SCFA difference.,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed
PMID:35351144,BMI,adiposity,aggregate_trial,inulin_by_physical_activity_interaction,39.7,,,BMI,0.012,,decrease,,yes,inulin main effect; strongest in increased-PA group (39.7 to 38.1 kg/m2),Physical activity was not randomized; interaction is exploratory.,single_group_or_unlabeled_value,unlabeled_first_p_value,control effect unavailable; multiple unlabeled P values; first retained
PMID:35351144,glucose,metabolic,subgroup,inulin_by_physical_activity_interaction,18.1,,,metabolic change,0.005,,improve in subgroup,within_group_only_or_mixed; subgroup_only,yes,fasting insulin 18.1 to 13.6 mU/L in inulin plus increased-PA group,PA subgroup is observational within randomized inulin trial.,single_group_or_unlabeled_value,unlabeled_first_p_value,control effect unavailable; multiple unlabeled P values; first retained
PMID:35351144,lipid,metabolic,aggregate_trial,inulin_by_physical_activity_interaction,192.9,,,mg/dL,<0.001,,decrease in subgroup,,yes,total cholesterol 192.9 to 176.1 mg/dL in inulin plus increased-PA group,Interaction with non-randomized PA change limits causal interpretation.,single_group_or_unlabeled_value,unlabeled_first_p_value,control effect unavailable; multiple unlabeled P values; first retained
PMID:35351144,microbiome,microbiome,aggregate_trial,inulin_by_physical_activity_interaction,,,,qualitative microbiome result,<0.05,,changed,,yes,Bifidobacterium increased most with inulin plus increased PA,"Bifidobacterium change correlated with BMI, weight and HOMA measures.",qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed
PMID:32615727,waist,adiposity,aggregate_trial,CJLS03_vs_placebo_change,0.8,,,cm between-group difference,0.013,,decrease,,yes,CJLS03 0.8 cm lower than placebo,Waist circumference change favored CJLS03.,single_group_or_unlabeled_value,explicit_between_group,control effect unavailable
PMID:32615727,body_fat,adiposity,aggregate_trial,CJLS03_vs_placebo_change,-0.2,+0.6,-0.800,kg body fat mass change,0.018,,decrease,,yes,CJLS03 -0.2 vs placebo +0.6,Primary body-fat outcome favored CJLS03; adverse events were mild and similar.,labeled_groups_split_on_vs,explicit_between_group,
EUROPEPMC:40218949,BMI,adiposity,aggregate_trial,LMT1-48_vs_placebo,,,,qualitative,,,unclear,within_group_only_or_mixed,limited,no confirmed between-group BMI estimate in abstract,Do not infer BMI efficacy from the body-fat within-group result.,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed
EUROPEPMC:40218949,body_fat,adiposity,aggregate_trial,LMT1-48_within_group_change,30.0,,,kg body fat mass,,0.009,decrease within intervention group,within_group_only_or_mixed,limited,LMT1-48 30.0 +/- 4.4 to 28.3 +/- 4.1,Abstract reports within-group change; between-group treatment effect requires table confirmation.,single_group_or_unlabeled_value,explicit_between_group,control effect unavailable
EUROPEPMC:40218949,microbiome,microbiome,PP,LMT1-48_vs_placebo,,,,qualitative microbiome result,,,changed,,limited,obesity-associated microbial taxa changed,Taxa-level details require table/supplement confirmation.,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed
PMID:40353878,weight,adiposity,aggregate_trial,low_dose_nabilone_vs_placebo_completers,,,,qualitative completer-only result,<0.001,,decrease,,yes,low-dose nabilone completers decreased more than placebo,Trial terminated early for poor tolerability; all high-dose participants withdrew. Very high risk of attrition bias.,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed
PMID:40353878,BMI,adiposity,aggregate_trial,low_dose_nabilone_vs_placebo_completers,,,,qualitative completer-only result,<0.001,,decrease,,yes,low-dose nabilone completers decreased more than placebo,Early termination and severe differential attrition prevent efficacy inference.,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed
PMID:40353878,microbiome,microbiome,aggregate_trial,low_dose_nabilone_vs_placebo_completers,,,,qualitative beta-diversity result,<0.05,,changed,,yes,greater Bray-Curtis compositional change with low-dose nabilone,Exploratory completer-only microbiome result in an early-terminated trial.,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed
PMID:40828642,weight,adiposity,aggregate_trial,energy_restriction_plus_exercise_vs_usual_lifestyle,-2.6,+0.57,-3.170,kg change,<0.001,,decrease,,yes,intervention -2.6 +/- 1.5 vs control +0.57 +/- 0.84,Combined lifestyle intervention; not microbiome-targeted.,labeled_groups_split_on_vs,unlabeled_first_p_value,
PMID:40828642,body_fat,adiposity,aggregate_trial,energy_restriction_plus_exercise_vs_usual_lifestyle,-1.5,+0.2,-1.700,kg fat-mass change,0.001,,decrease,,yes,intervention -1.5 +/- 1.3 vs control +0.2 +/- 1.0,Fat-free mass also decreased modestly.,labeled_groups_split_on_vs,unlabeled_first_p_value,
PMID:40828642,glucose,metabolic,FAS,energy_restriction_plus_exercise_vs_usual_lifestyle,-23.5,+4.2,-27.700,change,0.034,,improve,,yes,insulin -23.5 +/- 38.1 vs +4.2 +/- 24.1 pmol/L; HOMA2%S +48.7 vs +11.0,Insulin sensitivity improved without significant fasting-glucose difference.,labeled_groups_split_on_vs,unlabeled_first_p_value,multiple comparisons retained as first comparison only; multiple unlabeled P values; first retained
PMID:40828642,lipid,metabolic,aggregate_trial,energy_restriction_plus_exercise_vs_usual_lifestyle,-0.70,-0.09,-0.610,mmol/L change,<0.001,,improve,,yes,total cholesterol -0.70 vs -0.09; LDL-C -0.53 vs -0.06,Short intensive lifestyle intervention.,labeled_groups_split_on_vs,unlabeled_first_p_value,multiple comparisons retained as first comparison only; multiple unlabeled P values; first retained
PMID:40828642,microbiome,microbiome,aggregate_trial,energy_restriction_plus_exercise_vs_usual_lifestyle,,,,qualitative microbiome result,0.934,,no significant between-group effect,,no,no alpha/beta diversity or differential taxon/pathway change,Metabolic improvements occurred without detectable gut microbiome change.,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed; multiple unlabeled P values; first retained
PMID:37545298,weight,adiposity,aggregate_trial,intermittent_low_carb_vs_intermittent_calorie_restriction,-0.98,-0.84,-0.140,kg change at day 28,0.80,,no significant between-group effect,diet_confounded,no,ILCD -0.98 +/- 1.40 vs ICR -0.84 +/- 0.96,Both short dietary interventions reduced weight similarly.,labeled_groups_split_on_vs,explicit_between_group,
PMID:37545298,waist,adiposity,aggregate_trial,intermittent_low_carb_vs_intermittent_calorie_restriction,-0.17,-1.15,0.980,cm change at day 28,0.31,,no significant between-group effect,,no,ILCD -0.17 +/- 2.46 vs ICR -1.15 +/- 1.78,No differential waist effect.,labeled_groups_split_on_vs,explicit_between_group,
PMID:37545298,glucose,metabolic,aggregate_trial,intermittent_low_carb_vs_intermittent_calorie_restriction,-0.27,-0.15,-0.120,change,0.18,,no significant between-group effect,diet_confounded,no,FBG -0.27 vs -0.15 mmol/L; HOMA-IR -1.00 vs -1.14,Glycemic improvements were similar between diets.,labeled_groups_split_on_vs,unlabeled_first_p_value,multiple comparisons retained as first comparison only; multiple unlabeled P values; first retained
PMID:37545298,lipid,metabolic,aggregate_trial,intermittent_low_carb_vs_intermittent_calorie_restriction,+0.34,-0.03,0.370,mmol/L change,0.03,,unfavorable for intermittent low-carbohydrate diet,,no,LDL-C +0.34 vs -0.03; TG -0.19 vs -0.09; total cholesterol +0.20 vs -0.20,ILCD produced less favorable short-term lipid changes than ICR.,labeled_groups_split_on_vs,unlabeled_first_p_value,multiple comparisons retained as first comparison only; multiple unlabeled P values; first retained
PMID:37545298,microbiome,microbiome,aggregate_trial,intermittent_low_carb_vs_intermittent_calorie_restriction,,,,qualitative microbiome result,,,changed,diet_confounded,limited,diet-specific gut microbiota changes without demonstrated mediation,Short-duration dietary study; microbiome findings are exploratory.,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed
PMID:40375569,weight,adiposity,PP,four_arm_curcumin_probiotic_trial,,,,qualitative anthropometric result,not_significant,,no significant between-group effect,between_group_not_significant,no,"waist changes were similar across placebo, probiotic, curcumin and combined groups",Primary outcomes were mental health and quality of life; baseline BMI/waist imbalances and per-protocol analysis.,qualitative_or_missing_value,explicit_between_group,no numeric effect parsed; between-group numeric P value unavailable
NCT:NCT03261466,BMI,adiposity,aggregate_trial,B_breve_BR03_B632_vs_placebo_during_diet_training,,,,qualitative,<0.01,,no clear between-group effect,diet_confounded,yes,BMI decreased over time in both arms; probiotic-specific interaction not established,Carry-over invalidated full crossover; first period analyzed.,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed
NCT:NCT03261466,waist,adiposity,aggregate_trial,B_breve_BR03_B632_vs_placebo_during_diet_training,-3.41,,,cm adjusted difference,<0.05,,decrease,diet_confounded,yes,adjusted probiotic cohort mean -3.41 cm vs placebo,Dietary training in both arms; baseline metabolic differences remained.,labeled_groups_split_on_vs,unlabeled_first_p_value,
NCT:NCT03261466,glucose,metabolic,aggregate_trial,B_breve_BR03_B632_by_time,+0.013,,,model interaction coefficient,0.05,,improve,,limited,QUICKI interaction +0.013; ISI interaction +0.654,Borderline insulin-sensitivity interaction; crossover carry-over limits interpretation.,single_group_or_unlabeled_value,unlabeled_first_p_value,control effect unavailable; multiple unlabeled P values; first retained
NCT:NCT03261466,microbiome,microbiome,aggregate_trial,B_breve_BR03_B632_vs_placebo_during_diet_training,-0.4,,,log CFU/g,<0.02,,decrease,diet_confounded,yes,E. coli concentration adjusted difference -0.4 log CFU/g,Targeted qPCR rather than global community profiling.,single_group_or_unlabeled_value,unlabeled_first_p_value,control effect unavailable
NCT:NCT06795607,weight,adiposity,aggregate_trial,SF68_formulation_vs_placebo,-0.8,-0.6,-0.200,kg change,0.965,,no significant between-group effect,,no,probiotic -0.8 vs placebo -0.6,Single-blind small study; formulation also contained phytosterols and 6S-5MeTHF.,labeled_groups_split_on_vs,explicit_between_group,
NCT:NCT06795607,BMI,adiposity,aggregate_trial,SF68_formulation_vs_placebo,-0.3,-0.2,-0.100,kg/m2 change,0.988,,no significant between-group effect,,no,probiotic -0.3 vs placebo -0.2,No probiotic-specific BMI benefit.,labeled_groups_split_on_vs,explicit_between_group,
NCT:NCT06795607,waist,adiposity,aggregate_trial,SF68_formulation_vs_placebo,-1.8,-1.2,-0.600,cm change,0.403,,no significant between-group effect,within_group_only_or_mixed,no,probiotic -1.8 vs placebo -1.2,Both groups improved within arm.,labeled_groups_split_on_vs,explicit_between_group,
NCT:NCT06795607,body_fat,adiposity,aggregate_trial,SF68_formulation_vs_placebo,-1.8,-1.3,-0.500,change,0.447,,no significant between-group effect,between_group_not_significant; within_group_only_or_mixed,no,fat mass -1.8 vs -1.3 kg; fat percentage -1.7 vs -1.1,Within-group reductions did not translate to between-group efficacy.,labeled_groups_split_on_vs,unlabeled_first_p_value,multiple comparisons retained as first comparison only; multiple unlabeled P values; first retained
NCT:NCT06795607,glucose,metabolic,aggregate_trial,SF68_formulation_vs_placebo,+3.6,+5.1,-1.500,change,0.221,,no significant between-group effect,,no,glucose +3.6 vs +5.1 mg/dL; HOMA +0.1 vs +0.3,No glycemic treatment effect.,labeled_groups_split_on_vs,unlabeled_first_p_value,multiple comparisons retained as first comparison only; multiple unlabeled P values; first retained
NCT:NCT06795607,lipid,metabolic,aggregate_trial,SF68_formulation_vs_placebo,+0.1,0,0.100,change,0.048,,mixed lipid result,,yes,HDL/LDL ratio +0.1 vs 0; total cholesterol -11 vs +6.2 mg/dL,Only HDL/LDL ratio reached between-group significance.,labeled_groups_split_on_vs,unlabeled_first_p_value,multiple comparisons retained as first comparison only; multiple unlabeled P values; first retained
NCT:NCT06795607,microbiome,microbiome,aggregate_trial,SF68_formulation_within_group,,,,qualitative microbiome result,0.031,,changed within intervention group,within_group_only_or_mixed,yes,Evenness increased within probiotic arm; Lachnospirales decreased,No significant beta-diversity separation; within-arm exploratory result.,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed; multiple unlabeled P values; first retained
