effect_id,study_id,evidence_id,outcome_domain,effect_measure,estimate,standard_error,variance,variance_provenance,ci_lower,ci_upper,effect_unit,intervention_mean,intervention_sd,intervention_n,control_mean,control_sd,control_n,intervention_arm_id,control_arm_id,comparison,time_point,sample_size_total,extraction_method,validation_ready,confidence,source_final_value
PMID:41512635::waist::cm waist circumference change,PMID:41512635,PMID:41512635,waist,between_group_difference,-0.21,,,missing,,,cm waist circumference change,,,,,,,PMID:41512635::arm:intervention,PMID:41512635::arm:control,synbiotic_vs_placebo_change,,,curated_structured_effect_no_se,False,high,synbiotic +0.26 +/- 3.68 vs placebo +0.47 +/- 3.31
PMID:41512635::weight::kg change,PMID:41512635,PMID:41512635,weight,between_group_difference,-0.03,,,missing,,,kg change,,,,,,,PMID:41512635::arm:intervention,PMID:41512635::arm:control,synbiotic_vs_placebo_change,,,curated_structured_effect_no_se,False,high,synbiotic +0.51 +/- 2.33 vs placebo +0.54 +/- 2.62
PMID:40637175::BMI::%,PMID:40637175,PMID:40637175,BMI,adjusted_mean_difference,-0.7,0.2806122448979592,0.07874323198667224,reported_ci,-1.25,-0.15,%,,,,,,,PMID:40637175::arm:intervention,PMID:40637175::arm:control,abstract_mined,,,abstract_mined,True,low,"According to one study with 41 participants and in children and adolescents 0 to 19 years of age, intervention with prebiotics compared to placebo may result in a small reduction in BMI (mean difference = -0.70, 95% CI = -1.25 to -0.15) and body weight (mean difference = -1.5, 95% CI = -2.61 to -0.3"
PMID:39636391::BMI::%,PMID:39636391,PMID:39636391,BMI,abstract_directional_change,-8.0,,,missing,,,%,,,,,,,PMID:39636391::arm:intervention,PMID:39636391::arm:control,abstract_mined,,,abstract_mined,False,low,"Subjects in the Placebo Group and the Synbiotic Group experienced significant reduction of BMI (- 8% and - 11%, respectively;"
PMID:25909598::BMI::%,PMID:25909598,PMID:25909598,BMI,abstract_directional_change,-53.8,16.349965944694535,267.32138639267106,unclassified_standard_error,-85.84593325160128,-21.754066748398706,%,,,,,,,PMID:25909598::arm:intervention,PMID:25909598::arm:control,abstract_mined,,9.0,abstract_mined,False,low,"The reduction in the body weight of patients undergoing RYGB was 53.8% higher in the prebiotic group compared with the placebo group (-0.7 kg, P=0.001), whereas the reduction in the BMI and the increase in the percentage of excess weight loss were higher in the placebo and the prebiotic groups compa"
EUROPEPMC:41601941::glucose::%,EUROPEPMC:41601941,EUROPEPMC:41601941,glucose,abstract_directional_change,-7.2,,,missing,,,%,,,,,,,EUROPEPMC:41601941::arm:intervention,EUROPEPMC:41601941::arm:control,abstract_mined,,,abstract_mined,False,low,"At 3 months, the patient demonstrated improved glycemic control (hemoglobin A1c decreased from 7.2% to 5.9%) and improvement in newly documented mixed hyperlipidemia."
EUROPEPMC:41601941::body_fat::%,EUROPEPMC:41601941,EUROPEPMC:41601941,body_fat,abstract_directional_change,-6.1,,,missing,,,%,,,,,,,EUROPEPMC:41601941::arm:intervention,EUROPEPMC:41601941::arm:control,abstract_mined,,,abstract_mined,False,low,"At 6 months, testosterone levels normalized with replacement therapy, and the patient achieved modest weight reduction with favorable body composition changes: 13.2-lb decrease in fat mass, as well as a 6.1% reduction in body fat percentage and a 5.1-lb increase in skeletal muscle mass."
PMID:42169267::weight::%,PMID:42169267,PMID:42169267,weight,abstract_directional_change,-23.7,,,missing,,,%,,,,,,,PMID:42169267::arm:intervention,PMID:42169267::arm:control,abstract_mined,,,abstract_mined,False,low,"Compared to high-fat diet group, 8-week medium-dose RS1 intervention significantly reduced the body weight of the mice by 23.7% (p < 0.05), and reduced fat and liver mass, while also inhibiting the expression of pro-inflammatory factors TNF-α and IL-6."
EUROPEPMC:41594449::weight::%,EUROPEPMC:41594449,EUROPEPMC:41594449,weight,abstract_directional_change,200.0,,,missing,,,%,,,,,,,EUROPEPMC:41594449::arm:intervention,EUROPEPMC:41594449::arm:control,abstract_mined,,15.0,abstract_mined,False,low,"The study consisted of two, seven-week phases: weight gain (200% maintenance energy intake;"
PMID:42060057::weight::%,PMID:42060057,PMID:42060057,weight,abstract_directional_change,-20.0,,,missing,,,%,,,,,,,PMID:42060057::arm:intervention,PMID:42060057::arm:control,abstract_mined,,,abstract_mined,False,low,"rhamnosus resulted in a 14.6% reduction in body weight gain and a 20% decrease in low-density lipoprotein cholesterol compared to the model group, paralleling the metabolic improvements observed with orlistat in this murine model."
EUROPEPMC:41568048::weight::%,EUROPEPMC:41568048,EUROPEPMC:41568048,weight,abstract_directional_change,-10.0,,,missing,,,%,,,,,,,EUROPEPMC:41568048::arm:intervention,EUROPEPMC:41568048::arm:control,abstract_mined,,,abstract_mined,False,low,"One strain, designated AKM Lab-01, demonstrated significant efficacy in reducing weight gain in a high-fat diet (HFD)-induced obese mouse model, with a 10% weight reduction observed after 4 weeks."
EUROPEPMC:41228562::glucose::%,EUROPEPMC:41228562,EUROPEPMC:41228562,glucose,abstract_directional_change,-39.0,,,missing,,,%,,,,,,,EUROPEPMC:41228562::arm:intervention,EUROPEPMC:41228562::arm:control,abstract_mined,,259.0,abstract_mined,False,low,"In a randomized controlled trial of 12 weeks (n = 259), a Mediterranean diet reduced hepatic steatosis by 39% and improved insulin sensitivity."
EUROPEPMC:41228562::lipid::%,EUROPEPMC:41228562,EUROPEPMC:41228562,lipid,abstract_directional_change,-8.0,,,missing,,,%,,,,,,,EUROPEPMC:41228562::arm:intervention,EUROPEPMC:41228562::arm:control,abstract_mined,,259.0,abstract_mined,False,low,Resistant starch supplementation (n = 200) lowered intrahepatic triglyceride content by 8% through gut microbiome modulation.
PMID:41365537::body_fat::%,PMID:41365537,PMID:41365537,body_fat,abstract_directional_change,-13.2,,,missing,,,%,,,,,,,PMID:41365537::arm:intervention,PMID:41365537::arm:control,abstract_mined,,,abstract_mined,False,low,CLB intervention reduced body weight gain by 13.20% and decreased fat mass (21.10 ± 2.24% vs.
PMID:40214965::glucose::%,PMID:40214965,PMID:40214965,glucose,abstract_directional_change,-1.06,,,missing,,,%,,,,,,,PMID:40214965::arm:intervention,PMID:40214965::arm:control,abstract_mined,,,abstract_mined,False,low,The intervention group showed greater reductions in HbA1c (- 1.06% vs.
PMID:41479657::body_fat::%,PMID:41479657,PMID:41479657,body_fat,abstract_directional_change,-0.26,0.11779623439405405,0.013875952837418923,unclassified_standard_error,-0.49088061941234595,-0.029119380587654065,%,,,,,,,PMID:41479657::arm:intervention,PMID:41479657::arm:control,abstract_mined,,66.0,abstract_mined,False,low,"However, body composition outcomes favored scFOS: fat mass decreased (medians: -0.26% vs +0.20%, p = 0.0273), lean mass increased (+0.27% vs -0.30%;"
PMID:41479657::weight::kg,PMID:41479657,PMID:41479657,weight,abstract_directional_change,0.14,,,missing,,,kg,,,,,,,PMID:41479657::arm:intervention,PMID:41479657::arm:control,abstract_mined,,66.0,abstract_mined,False,low,Body weight remained stable with scFOS while it tended to increase with placebo (estimated means: +0.14 kg vs +0.70 kg;
PMID:41861447::body_fat::%,PMID:41861447,PMID:41861447,body_fat,abstract_directional_change,-17.0,,,missing,,,%,,,,,,,PMID:41861447::arm:intervention,PMID:41861447::arm:control,abstract_mined,,,abstract_mined,False,low,"Reductions in CRP by 17 % (p = 0.03) were observed in the rye-group, while both CRP (r = 0.17, p = 0.001) and HOMA-IR (r = 0.13, p = 0.02) at baseline were associated with fat mass change in the wheat-group."
PMID:42044842::body_fat::%,PMID:42044842,PMID:42044842,body_fat,abstract_directional_change,-8.57,,,missing,,,%,,,,,,,PMID:42044842::arm:intervention,PMID:42044842::arm:control,abstract_mined,,,abstract_mined,False,low,"Relative liver fat fraction was markedly reduced following the LGI diet (8.57%).Observations in the LGI group coincided with changes in blood glycaemic biomarkers, including a significant reduction in HOMA-IR (-1.78, p = 0.043)."
PMID:42044842::BMI::kg,PMID:42044842,PMID:42044842,BMI,abstract_directional_change,-1.2,,,missing,,,kg,,,,,,,PMID:42044842::arm:intervention,PMID:42044842::arm:control,abstract_mined,,,abstract_mined,False,low,"Additionally, the LGI diet resulted in significant reductions in body weight (-1.2 kg, p = 0.018) and body mass index (-0.38 kg/m2, p = 0.017), as well as increased pre-meal appetite scores during the middle of the diet period and decreased interleukin 6;"
EUROPEPMC:40400804::BMI::%,EUROPEPMC:40400804,EUROPEPMC:40400804,BMI,abstract_directional_change,-12.01,3.649871579847237,13.321562549376566,unclassified_standard_error,-19.163748296500586,-4.8562517034994155,%,,,,,,,EUROPEPMC:40400804::arm:intervention,EUROPEPMC:40400804::arm:control,abstract_mined,,53.0,abstract_mined,False,low,"The probiotic-fiber blend formulation (n = 53) demonstrated statistically significant (p < 0.001) improvements compared to placebo (n = 51), including reductions in body weight (12.01%), BMI (12.14%), waist circumference (9.64%), and hip circumference (9.63%) compared to placebo."
EUROPEPMC:40400804::lipid::%,EUROPEPMC:40400804,EUROPEPMC:40400804,lipid,abstract_directional_change,-54.02,,,missing,,,%,,,,,,,EUROPEPMC:40400804::arm:intervention,EUROPEPMC:40400804::arm:control,abstract_mined,,53.0,abstract_mined,False,low,"Additionally, statistically significant reductions were observed in the MetS-Z score (54.02%), triglycerides (25.75%), and perceived stress (37.62%), along with a notable increase in HDL levels (16.55%)."
PMID:37084470::BMI::%,PMID:37084470,PMID:37084470,BMI,abstract_directional_change,-50.0,,,missing,,,%,,,,,,,PMID:37084470::arm:intervention,PMID:37084470::arm:control,abstract_mined,,,abstract_mined,False,low,As main results we observed that ∼30% of the RCTs reported a significant decrease in body weight and body mass index (BMI) and ∼50% found a significant reduction in waist circumference and total fat mass.
PMID:35351144::BMI::kg/m2,PMID:35351144,PMID:35351144,BMI,abstract_directional_change,-1.6,,,missing,,,kg/m2,,,,,,,PMID:35351144::arm:intervention,PMID:35351144::arm:control,abstract_mined,,61.0,abstract_mined,False,low,"Obese subjects who increased PA during a 3 months intervention with inulin-enriched diet exhibited several clinical improvements such as reduced BMI (- 1.6 kg/m2), decreased liver enzymes and plasma cholesterol, and improved glucose tolerance."
PMID:32615727::body_fat::kg,PMID:32615727,PMID:32615727,body_fat,abstract_directional_change,-0.2,0.08454449927009432,0.007147772356830978,unclassified_standard_error,-0.3657072185693849,-0.03429278143061515,kg,,,,,,,PMID:32615727::arm:intervention,PMID:32615727::arm:control,abstract_mined,,114.0,abstract_mined,False,low,"Body fat mass decreased by 0.2 kg in the CJLS03 group and increased by 0.6 kg in the placebo group (0.8 kg difference, P=0.018)."
PMID:30659070::weight::%,PMID:30659070,PMID:30659070,weight,abstract_directional_change,32.5,,,missing,,,%,,,,,,,PMID:30659070::arm:intervention,PMID:30659070::arm:control,abstract_mined,,,abstract_mined,False,low,Excessive weight gain occurred in 32.5% of women in the probiotics arm (55 of 169) compared with 46% in the placebo arm (81 of 176) (P = 0.01).
PMID:31965834::BMI::%,PMID:31965834,PMID:31965834,BMI,abstract_directional_change,-95.0,,,missing,,,%,,,,,,,PMID:31965834::arm:intervention,PMID:31965834::arm:control,abstract_mined,,,abstract_mined,False,low,"A total of 71 subjects completed the scheduled study visits and analysis thereof showed that a 12-week UB0316 supplementation significantly reduced BMI (95% CI: -0.64, -0.27;"
PMID:26956126::BMI::kg,PMID:26956126,PMID:26956126,BMI,abstract_directional_change,-0.45,,,missing,,,kg,,,,,,,PMID:26956126::arm:intervention,PMID:26956126::arm:control,abstract_mined,,,abstract_mined,False,low,"Heat-killed LP28 reduced BMI (0.45 kg/m(2), 95% CI (0.04, 0.86), P=0.035), body fat percentage (1.11%, (0.39, 1.82), P=0.002), body fat mass (1.17 kg (0.43, 1.92), P=0.004) and waist circumference (2.84 cm (0.74, 4.93), P=0.009) when compared with a placebo group."
PMID:24411490::BMI::kg,PMID:24411490,PMID:24411490,BMI,abstract_directional_change,25.0,,,missing,,,kg,,,,,,,PMID:24411490::arm:intervention,PMID:24411490::arm:control,abstract_mined,,,abstract_mined,False,low,"A randomized, double-blind, placebo controlled study was conducted, in which patients with higher BMI (>25 kg/m(2)) and waist circumference (>85 cm) were enrolled and randomly assigned to receive Bofutsushosan with either probiotics or placebo capsules for a period of eight weeks."
PMID:40796902::lipid::%,PMID:40796902,PMID:40796902,lipid,abstract_directional_change,95.0,,,missing,,,%,,,,,,,PMID:40796902::arm:intervention,PMID:40796902::arm:control,abstract_mined,,,abstract_mined,False,low,A 1-point increase in the desire to drink Likert score was associated with a 62.5 mg/day increase in cholesterol intake post-intervention (95%CI: 16.6-108.4).
PMID:28008750::waist::%,PMID:28008750,PMID:28008750,waist,abstract_directional_change,-3.4,,,missing,,,%,,,,,,,PMID:28008750::arm:intervention,PMID:28008750::arm:control,abstract_mined,,21.0,abstract_mined,False,low,"In comparison with the dietary intervention group, the dietary intervention + probiotic mix group showed a greater reduction in the waist circumference (-3.40% vs."
PMID:40965226::waist::cm,PMID:40965226,PMID:40965226,waist,abstract_directional_change,-1.8,,,missing,,,cm,,,,,,,PMID:40965226::arm:intervention,PMID:40965226::arm:control,abstract_mined,,,abstract_mined,False,low,"While both groups showed significant (p < 0.05) improvements, the probiotic group showed greater reductions in waist circumference (-1.8 cm), fat mass (-1.8 kg;"
PMID:28596023::body_fat::%,PMID:28596023,PMID:28596023,body_fat,abstract_directional_change,-3.1,,,missing,,,%,,,,,,,PMID:28596023::arm:intervention,PMID:28596023::arm:control,abstract_mined,,22.0,abstract_mined,False,low,"After 16 weeks, children who consumed OI had significant decreases in body weight z-score (decrease of 3.1%), percent body fat (decrease of 2.4%), and percent trunk fat (decrease of 3.8%) compared with children given placebo (increase of 0.5%, increase of 0.05%, and decrease of 0.3%, respectively)."
PMID:28596023::lipid::%,PMID:28596023,PMID:28596023,lipid,abstract_directional_change,-19.0,,,missing,,,%,,,,,,,PMID:28596023::arm:intervention,PMID:28596023::arm:control,abstract_mined,,22.0,abstract_mined,False,low,There was a significant decrease in serum triglycerides (decrease of 19%) in the OI group.
PMID:38498828::waist::kg,PMID:38498828,PMID:38498828,waist,abstract_directional_change,-0.64,,,missing,,,kg,,,,,,,PMID:38498828::arm:intervention,PMID:38498828::arm:control,abstract_mined,,,abstract_mined,False,low,"Bifidobacterium probiotics administration resulted in significant reductions in body fat mass (MD = -0.64 kg, 95% CI: -1.09, -0.18, p = 0.006), body fat percentage (MD = -0.64%, 95% CI: -1.18, -0.11, p = 0.02), waist circumference (MD = -1.39 cm, 95% CI: -1.99, -0.79, p < 0.00001), and visceral fat "
PMID:36615904::weight::%,PMID:36615904,PMID:36615904,weight,abstract_directional_change,-7.0,,,missing,,,%,,,,,,,PMID:36615904::arm:intervention,PMID:36615904::arm:control,abstract_mined,,,abstract_mined,False,low,"Although both treatments decreased the HbA1c levels significantly, the gemigliptin−metformin group achieved HbA1c ≤ 7.0% without hypoglycemia or weight gain more effectively than did the glimepiride−metformin group (59% vs."
EUROPEPMC:40895298::weight::kg,EUROPEPMC:40895298,EUROPEPMC:40895298,weight,abstract_directional_change,-1.25,,,missing,,,kg,,,,,,,EUROPEPMC:40895298::arm:intervention,EUROPEPMC:40895298::arm:control,abstract_mined,,,abstract_mined,False,low,"Probiotic supplementation, especially multispecies formulations, initiated in the first trimester led to a mean reduction in gestational weight gain (GWG) of 1.25 kg (95% CI: -1.78 to -0.72 kg;"
EUROPEPMC:41002774::BMI::%,EUROPEPMC:41002774,EUROPEPMC:41002774,BMI,abstract_directional_change,-15.7,4.771272589808628,22.765042126259136,unclassified_standard_error,-25.05169427602491,-6.348305723975088,%,,,,,,,EUROPEPMC:41002774::arm:intervention,EUROPEPMC:41002774::arm:control,abstract_mined,,36.0,abstract_mined,False,low,"Results: Diet therapy led to significant reductions in BMI (-15.7%, p = 0.001), visceral fat (-17.3%, p = 0.001), triglycerides (-14.6%, p = 0.003), uric acid (-9.5%, p = 0.011), and C-reactive protein (CRP) (-21.4%, p = 0.007)."
PMID:26084343::glucose::%,PMID:26084343,PMID:26084343,glucose,abstract_directional_change,76.0,,,missing,,,%,,,,,,,PMID:26084343::arm:intervention,PMID:26084343::arm:control,abstract_mined,,,abstract_mined,False,low,"reuteri SD5865 increased glucose-stimulated GLP-1 and GLP-2 release by 76% (P < 0.01) and 43% (P < 0.01), respectively, compared with placebo, along with 49% higher insulin (P < 0.05) and 55% higher C-peptide secretion (P < 0.05)."
EUROPEPMC:41126806::weight::%,EUROPEPMC:41126806,EUROPEPMC:41126806,weight,abstract_directional_change,-1.0,0.46081030095763087,0.21234613346866232,unclassified_standard_error,-1.9031881898769565,-0.09681181012304352,%,,,,,,,EUROPEPMC:41126806::arm:intervention,EUROPEPMC:41126806::arm:control,abstract_mined,,20.0,abstract_mined,False,low,"These ""responders"" (R) exhibited distinct baseline microbiome traits and experienced reductions in body weight (-1 %, p = 0.03) and diastolic blood pressure (-6 %, p = 0.049) compared to Non-responders (NR) to S."
PMID:34358838::weight::kg,PMID:34358838,PMID:34358838,weight,abstract_directional_change,-0.7,,,missing,,,kg,,,,,,,PMID:34358838::arm:intervention,PMID:34358838::arm:control,abstract_mined,,1720.0,abstract_mined,False,low,Data pooling showed a significant effect of probiotics in reducing body weight (MD:-0.70 kg;
PMID:39313030::weight::kg,PMID:39313030,PMID:39313030,weight,abstract_directional_change,-0.97,,,missing,,,kg,,,,,,,PMID:39313030::arm:intervention,PMID:39313030::arm:control,abstract_mined,,1184.0,abstract_mined,False,low,Chicory ITF significantly reduced body weight [mean difference (MD): -0.97 kg;
PMID:39313030::BMI::kg/m2,PMID:39313030,PMID:39313030,BMI,abstract_directional_change,-0.39,,,missing,,,kg/m2,,,,,,,PMID:39313030::arm:intervention,PMID:39313030::arm:control,abstract_mined,,1184.0,abstract_mined,False,low,ITF favored overall effects reduction in BMI (MD: -0.39 kg/m2;
PMID:29661605::glucose::%,PMID:29661605,PMID:29661605,glucose,abstract_directional_change,-0.09,0.10316581132023625,0.010643184625362586,unclassified_standard_error,-0.29220499018766305,0.11220499018766306,%,,,,,,,PMID:29661605::arm:intervention,PMID:29661605::arm:control,abstract_mined,,22.0,abstract_mined,False,low,"With respect to our secondary outcomes, HbA1c insignificant decreased by 0.09% (p = 0.383) and 0.24% (p = 0.068) respectively in placebo and probiotics groups."
PMID:31886746::BMI::kg/m2,PMID:31886746,PMID:31886746,BMI,abstract_directional_change,-0.2,,,missing,,,kg/m2,,,,,,,PMID:31886746::arm:intervention,PMID:31886746::arm:control,abstract_mined,,,abstract_mined,False,low,"whereas no reductions in BMI (WMD, -0.20 kg/m2;"
EUROPEPMC:38903852::BMI::%,EUROPEPMC:38903852,EUROPEPMC:38903852,BMI,abstract_directional_change,-66.6,,,missing,,,%,,,,,,,EUROPEPMC:38903852::arm:intervention,EUROPEPMC:38903852::arm:control,abstract_mined,,,abstract_mined,False,low,"The review showed that, although there is a lack of consensus in the literature, the use of probiotics in the absence of dieting produced a significant reduction in body weight and body mass index in 66.6% of the reviewed studies, a significant reduction in waist circumference in 80.0% of the review"
PMID:39458486::glucose::%,PMID:39458486,PMID:39458486,glucose,abstract_directional_change,0.25,,,missing,,,%,,,,,,,PMID:39458486::arm:intervention,PMID:39458486::arm:control,abstract_mined,,,abstract_mined,False,low,p = 0.037) and a mild increase in HbA1c in the FMT group (+0.25%;
EUROPEPMC:36530587::weight::kg,EUROPEPMC:36530587,EUROPEPMC:36530587,weight,abstract_directional_change,-0.73,,,missing,,,kg,,,,,,,EUROPEPMC:36530587::arm:intervention,EUROPEPMC:36530587::arm:control,abstract_mined,,11.0,abstract_mined,False,low,"Compared with dietary or dietary and exercise interventions only, probiotics resulted in reductions in body weight (MD: -0.73 kg;"
EUROPEPMC:36530587::body_fat::kg,EUROPEPMC:36530587,EUROPEPMC:36530587,body_fat,abstract_directional_change,-1.53,0.6778521893407409,0.4594835905940356,unclassified_standard_error,-2.858590291107852,-0.20140970889214804,kg,,,,,,,EUROPEPMC:36530587::arm:intervention,EUROPEPMC:36530587::arm:control,abstract_mined,,11.0,abstract_mined,False,low,"95% CI: -0.99 to -0.07, p=0.024) while synbiotics resulted in reductions in fat mass (MD: -1.53 kg;"
EUROPEPMC:41003008::lipid::%,EUROPEPMC:41003008,EUROPEPMC:41003008,lipid,abstract_directional_change,-30.0,,,missing,,,%,,,,,,,EUROPEPMC:41003008::arm:intervention,EUROPEPMC:41003008::arm:control,abstract_mined,,,abstract_mined,False,low,omega-3 fatty acids (fish oil) reduce triglycerides by ~25-30% and inflammation;
EUROPEPMC:41168307::body_fat::%,EUROPEPMC:41168307,EUROPEPMC:41168307,body_fat,abstract_directional_change,66.4,,,missing,,,%,,,,,,,EUROPEPMC:41168307::arm:intervention,EUROPEPMC:41168307::arm:control,abstract_mined,,,abstract_mined,False,low,"plantarum M10 to HCD animals for 12 weeks attenuated gain in body mass (66.40%), adiposity index, serum lipid levels, glucose tolerance, liver function, oxidative stress markers, and enhanced the levels of antioxidant."
PMID:32844188::weight::%,PMID:32844188,PMID:32844188,weight,abstract_directional_change,29.0,,,missing,,,%,,,,,,,PMID:32844188::arm:intervention,PMID:32844188::arm:control,abstract_mined,,33.0,abstract_mined,False,low,"Participants lost on average 14 kg by W9, followed by weight stabilization at W13, and regained 29% of their initial weight loss at 1Y."
PMID:32985001::body_fat::kg,PMID:32985001,PMID:32985001,body_fat,abstract_directional_change,7.44,,,missing,,,kg,,,,,,,PMID:32985001::arm:intervention,PMID:32985001::arm:control,abstract_mined,,,abstract_mined,False,low,"Moreover, the fat mass, fat rate, and visceral fat were decreased by 6.48, 7.19, 6.3 kg after FBWN intervention, respectively, while muscle mass and basal metabolic rate rose 7.44 kg and 252.60 kcal."
PMID:40598275::glucose::%,PMID:40598275,PMID:40598275,glucose,abstract_directional_change,-72.0,,,missing,,,%,,,,,,,PMID:40598275::arm:intervention,PMID:40598275::arm:control,abstract_mined,,,abstract_mined,False,low,"Inulin also reduced the abundance of Ruminococcus by 72.0% (from 1.661% ± 1.501% to 0.465% ± 0.594%), positively correlating with improved glycemic outcomes."
EUROPEPMC:41494682::body_fat::%,EUROPEPMC:41494682,EUROPEPMC:41494682,body_fat,abstract_directional_change,-2.32,,,missing,,,%,,,,,,,EUROPEPMC:41494682::arm:intervention,EUROPEPMC:41494682::arm:control,abstract_mined,,,abstract_mined,False,low,"The FY+RT group showed the greatest preservation of muscle mass, with the smallest reductions in fat-free mass percentage (-2.32%, P=0.001) and skeletal muscle mass (-1.34 kg, P<0.001)."
EUROPEPMC:40951500::BMI::kg/m2,EUROPEPMC:40951500,EUROPEPMC:40951500,BMI,abstract_directional_change,-0.4,,,missing,,,kg/m2,,,,,,,EUROPEPMC:40951500::arm:intervention,EUROPEPMC:40951500::arm:control,abstract_mined,,,abstract_mined,False,low,Significant reductions were observed in BMI (mean difference (MD): -0.40 kg/m2;
PMID:30595036::weight::kg,PMID:30595036,PMID:30595036,weight,abstract_directional_change,-0.8,,,missing,,,kg,,,,,,,PMID:30595036::arm:intervention,PMID:30595036::arm:control,abstract_mined,,,abstract_mined,False,low,The present meta-analysis of 23 randomized trials indicated that supplementation with synbiotic can decrease body weight (WMD: -0.80 kg;
PMID:39340527::BMI::kg/m2,PMID:39340527,PMID:39340527,BMI,abstract_directional_change,-2.13,,,missing,,,kg/m2,,,,,,,PMID:39340527::arm:intervention,PMID:39340527::arm:control,abstract_mined,,,abstract_mined,False,low,"Multiple-strain probiotics (MSP) showed significant efficacy in reducing BMI (Mean Difference (MD) -2.13 kg/m2, 95% credible interval (CrI) [-2.7, -1.57]), waist circumference (MD -1.34 cm, 95% CrI [-2.33, -0.35]), total cholesterol (MD -6.55 mg/dL, 95% CrI [-10.61, -2.45]), triglycerides (MD -3.71 "
PMID:38068829::lipid::%,PMID:38068829,PMID:38068829,lipid,abstract_directional_change,4.02,,,missing,,,%,,,,,,,PMID:38068829::arm:intervention,PMID:38068829::arm:control,abstract_mined,,,abstract_mined,False,low,"In addition, the fecal lipid content of mice in the L group reached 5.89%, which was significantly higher than that of the DM group at 4.02% (p < 0.05)."
EUROPEPMC:41133047::weight::%,EUROPEPMC:41133047,EUROPEPMC:41133047,weight,abstract_directional_change,-31.0,,,missing,,,%,,,,,,,EUROPEPMC:41133047::arm:intervention,EUROPEPMC:41133047::arm:control,abstract_mined,,,abstract_mined,False,low,"Prebiotic therapies showed significant decreases in fasting glucose in overweight people, and insulin levels and HOMA-IR in patients with metabolic syndrome, enhanced anti-inflammatory effects (31% C-reactive protein (CRP) reduction, decreased interleukin (IL)-6, tumor necrosis factor-alpha (TNF)-α,"
PMID:36530587::weight::kg,PMID:36530587,PMID:36530587,weight,abstract_directional_change,-0.73,,,missing,,,kg,,,,,,,PMID:36530587::arm:intervention,PMID:36530587::arm:control,abstract_mined,,11.0,abstract_mined,False,low,"Compared with dietary or dietary and exercise interventions only, probiotics resulted in reductions in body weight (MD: -0.73 kg;"
PMID:36530587::body_fat::kg,PMID:36530587,PMID:36530587,body_fat,abstract_directional_change,-1.53,0.6778521893407409,0.4594835905940356,unclassified_standard_error,-2.858590291107852,-0.20140970889214804,kg,,,,,,,PMID:36530587::arm:intervention,PMID:36530587::arm:control,abstract_mined,,11.0,abstract_mined,False,low,"95% CI: -0.99 to -0.07, p=0.024) while synbiotics resulted in reductions in fat mass (MD: -1.53 kg;"
PMID:33459204::BMI::%,PMID:33459204,PMID:33459204,BMI,abstract_directional_change,-60.87,,,missing,,,%,,,,,,,PMID:33459204::arm:intervention,PMID:33459204::arm:control,abstract_mined,,,abstract_mined,False,low,"The role of probiotics in reducing body mass index and weight as well as changing the visceral abdominal fat area, waist and hip circumference were shown in 14 of 23 trials (60.87%);"
PMID:42116498::glucose::%,PMID:42116498,PMID:42116498,glucose,abstract_directional_change,-9.45,,,missing,,,%,,,,,,,PMID:42116498::arm:intervention,PMID:42116498::arm:control,abstract_mined,,,abstract_mined,False,low,"Compared with the control condition, early HFNT led to greater reductions in HbA1c [-9.45% (-18.04, -4.63) vs 1.44% (-7.73, 3.08);"
PMID:40642833::weight::%,PMID:40642833,PMID:40642833,weight,abstract_directional_change,-95.0,,,missing,,,%,,,,,,,PMID:40642833::arm:intervention,PMID:40642833::arm:control,abstract_mined,,,abstract_mined,False,low,"After these adjustments, mean weight reductions at 56 weeks (95% CI) were observed for semaglutide, phentermine-topiramate (PT), sibutramine, probiotics, orlistat, metformin and GLP-1 receptor agonists such as liraglutide, exenatide and dulaglutide, with losses of 12.55 (10.17-16.19), 10.16 (8.06-12"
PMID:41003008::lipid::%,PMID:41003008,PMID:41003008,lipid,abstract_directional_change,-30.0,,,missing,,,%,,,,,,,PMID:41003008::arm:intervention,PMID:41003008::arm:control,abstract_mined,,,abstract_mined,False,low,omega-3 fatty acids (fish oil) reduce triglycerides by ~25-30% and inflammation;
PMID:38030409::weight::kg,PMID:38030409,PMID:38030409,weight,abstract_directional_change,-0.91,,,missing,,,kg,,,,,,,PMID:38030409::arm:intervention,PMID:38030409::arm:control,abstract_mined,,,abstract_mined,False,low,Probiotics or synbiotics intake led to a significant decrease in body weight (weighted mean difference [WMD]: -0.91 kg;
PMID:34434546::BMI::kg,PMID:34434546,PMID:34434546,BMI,abstract_directional_change,3.38,,,missing,,,kg,,,,,,,PMID:34434546::arm:intervention,PMID:34434546::arm:control,abstract_mined,,,abstract_mined,False,low,"There were no significant change of body weight and BMI after 8 weeks synbiotics supplementation and 4 weeks after supplement discontinuation, but there were significant increases in body weight by 3.38 kg and BMI by 1.37 kg/m2 in the control group."
PMID:35807808::weight::kg,PMID:35807808,PMID:35807808,weight,abstract_directional_change,-1.25,,,missing,,,kg,,,,,,,PMID:35807808::arm:intervention,PMID:35807808::arm:control,abstract_mined,,,abstract_mined,False,low,"The participants with dietary fibre supplementation showed a significantly higher reduction in body weight (MD -1.25 kg, 95% CI -2.24, -0.25;"
