species,genus,category,source,obesity_signal,shap_importance,bsh_potential,butyrate_scfa_potential,mucin_interaction,safety_tier,clinical_evidence,priority_tier
Flavonifractor_plautii,Flavonifractor,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0605,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis
Acidaminococcus_intestini,Acidaminococcus,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0572,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis
Roseburia_inulinivorans,Roseburia,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0504,0,2,0,requires_genome_safety_lbp,screening_only,C_screening_hypothesis
Clostridium_clostridioforme,Clostridium,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0398,0,2,0,requires_genome_safety_lbp,screening_only,C_screening_hypothesis
Collinsella_aerofaciens,Collinsella,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0392,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis
Prevotella_copri,Prevotella,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0373,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis
Coprobacter_fastidiosus,Coprobacter,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.034,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis
Holdemanella_biformis,Holdemanella,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0339,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis
Ruminococcus_bromii,Ruminococcus,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0315,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis
Eubacterium_sp_CAG_274,Eubacterium,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0284,,,,requires_genome_safety_lbp,screening_only,C_screening_hypothesis
Ruminococcus_torques,Ruminococcus,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0241,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis
Bilophila_wadsworthia,Bilophila,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.024,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis
Ruthenibacterium_lactatiformans,Ruthenibacterium,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0236,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis
Blautia_sp_CAG_257,Blautia,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0231,,,,requires_genome_safety_lbp,screening_only,C_screening_hypothesis
Clostridium_bolteae,Clostridium,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0221,0,2,0,requires_genome_safety_lbp,screening_only,C_screening_hypothesis
Bacteroides_vulgatus,Bacteroides,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0205,0,1,1,requires_genome_safety_lbp,screening_only,C_screening_hypothesis
Bacteroides_fragilis,Bacteroides,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0203,0,1,1,requires_genome_safety_lbp,screening_only,C_screening_hypothesis
Dorea_longicatena,Dorea,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0194,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis
Clostridium_disporicum,Clostridium,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0188,0,2,0,requires_genome_safety_lbp,screening_only,C_screening_hypothesis
Clostridium_bolteae_CAG_59,Clostridium,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0178,0,2,0,requires_genome_safety_lbp,screening_only,C_screening_hypothesis
Eubacterium_rectale,Eubacterium,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0177,,,,requires_genome_safety_lbp,screening_only,C_screening_hypothesis
Firmicutes_bacterium_CAG_83,Firmicutes,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0177,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis
Dielma_fastidiosa,Dielma,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0175,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis
Clostridium_saccharolyticum,Clostridium,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0166,0,2,0,requires_genome_safety_lbp,screening_only,C_screening_hypothesis
Anaeromassilibacillus_sp_An250,Anaeromassilibacillus,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0165,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis
Phascolarctobacterium_sp_CAG_266,Phascolarctobacterium,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0163,0,0,0,requires_genome_safety_lbp,screening_only,C_screening_hypothesis
Romboutsia_ilealis,Romboutsia,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0154,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis
Fretibacterium_fastidiosum,Fretibacterium,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0152,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis
Ruminococcus_bicirculans,Ruminococcus,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.015,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis
Turicimonas_muris,Turicimonas,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0145,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis
Alistipes_inops,Alistipes,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0141,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis
Pseudoflavonifractor_sp_An184,Pseudoflavonifractor,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0138,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis
Coprobacillus_cateniformis,Coprobacillus,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0127,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis
Butyricimonas_virosa,Butyricimonas,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0123,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis
Bacteroides_uniformis,Bacteroides,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0122,0,1,1,requires_genome_safety_lbp,screening_only,C_screening_hypothesis
Lachnospira_pectinoschiza,Lachnospira,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0113,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis
Eubacterium_ventriosum,Eubacterium,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0111,,,,requires_genome_safety_lbp,screening_only,C_screening_hypothesis
Firmicutes_bacterium_CAG_170,Firmicutes,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0106,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis
Ruminococcaceae_bacterium_D16,Ruminococcaceae,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0106,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis
Clostridium_leptum,Clostridium,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0097,0,2,0,requires_genome_safety_lbp,screening_only,C_screening_hypothesis
Butyricimonas_synergistica,Butyricimonas,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0081,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis
Collinsella_intestinalis,Collinsella,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0075,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis
Parabacteroides_johnsonii,Parabacteroides,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0072,0,1,1,requires_genome_safety_lbp,screening_only,C_screening_hypothesis
Eisenbergiella_tayi,Eisenbergiella,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0069,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis
Barnesiella_intestinihominis,Barnesiella,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.006,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis
Coprobacter_secundus,Coprobacter,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0058,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis
Bacteroides_sp_CAG_144,Bacteroides,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0057,0,1,1,requires_genome_safety_lbp,screening_only,C_screening_hypothesis
Oscillibacter_sp_CAG_241,Oscillibacter,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0056,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis
Eubacterium_sp_CAG_38,Eubacterium,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0049,,,,requires_genome_safety_lbp,screening_only,C_screening_hypothesis
Fusicatenibacter_saccharivorans,Fusicatenibacter,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0046,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis
Bacteroides_eggerthii,Bacteroides,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0043,0,1,1,requires_genome_safety_lbp,screening_only,C_screening_hypothesis
Akkermansia_muciniphila,Akkermansia,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0042,0,0,2,requires_genome_safety_lbp,screening_only,C_screening_hypothesis
Paraprevotella_xylaniphila,Paraprevotella,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0041,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis
Eubacterium_ramulus,Eubacterium,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0035,,,,requires_genome_safety_lbp,screening_only,C_screening_hypothesis
Dialister_invisus,Dialister,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0026,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis
Enterorhabdus_caecimuris,Enterorhabdus,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0025,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis
Clostridium_sp_CAG_253,Clostridium,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0024,0,2,0,requires_genome_safety_lbp,screening_only,C_screening_hypothesis
Proteobacteria_bacterium_CAG_139,Proteobacteria,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0023,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis
Phascolarctobacterium_succinatutens,Phascolarctobacterium,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0021,0,0,0,requires_genome_safety_lbp,screening_only,C_screening_hypothesis
Dialister_sp_CAG_357,Dialister,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0021,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis
Aeriscardovia_aeriphila,Aeriscardovia,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0018,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis
Firmicutes_bacterium_CAG_238,Firmicutes,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0017,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis
Ruminococcus_callidus,Ruminococcus,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0017,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis
Bacteroides_finegoldii,Bacteroides,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0017,0,1,1,requires_genome_safety_lbp,screening_only,C_screening_hypothesis
Megamonas_hypermegale,Megamonas,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0015,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis
Clostridium_innocuum,Clostridium,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0008,0,2,0,requires_genome_safety_lbp,screening_only,C_screening_hypothesis
Bacteroides_clarus,Bacteroides,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0005,0,1,1,requires_genome_safety_lbp,screening_only,C_screening_hypothesis
Asaccharobacter_celatus,Asaccharobacter,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0004,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis
Bacteroides_faecis_CAG_32,Bacteroides,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0004,0,1,1,requires_genome_safety_lbp,screening_only,C_screening_hypothesis
