rank,region,members,n_strains,axes,n_axes,n_universal_members,diversity_mean,effect_mean,culturability_mean,composite
6652,西欧,Bifidobacterium_animalis; Bacteroides_dorei; Odoribacter_splanchnicus; Victivallis_vadensis; Akkermansia_muciniphila,5,propionate+mucin,2,2,0.209,0.208,0.87,0.5938
6653,西欧,Barnesiella_intestinihominis; Alistipes_indistinctus; Intestinimonas_butyriciproducens; Ruminococcus_lactaris; Victivallis_vadensis,5,propionate+butyrate+mucin,3,2,0.222,0.195,0.73,0.5938
6654,西欧,Alistipes_putredinis; Intestinimonas_butyriciproducens; Eubacterium_siraeum; Ruminococcus_lactaris,4,propionate+butyrate+mucin,3,1,0.233,0.253,0.762,0.5937
6655,西欧,Bacteroides_dorei; Bacteroides_salyersiae; Barnesiella_intestinihominis; Eubacterium_eligens; Ruminococcus_lactaris,5,propionate+mucin,2,1,0.239,0.246,0.84,0.5937
6656,西欧,Odoribacter_splanchnicus; Alistipes_putredinis; Parabacteroides_goldsteinii; Intestinimonas_butyriciproducens; Eubacterium_eligens,5,propionate+butyrate,2,1,0.242,0.205,0.82,0.5937
6657,西欧,Bacteroides_cellulosilyticus; Bacteroides_dorei; Turicibacter_sanguinis; Akkermansia_muciniphila,4,propionate+mucin,2,2,0.187,0.283,0.887,0.5937
6658,西欧,Bacteroides_cellulosilyticus; Odoribacter_splanchnicus; Intestinimonas_butyriciproducens; Butyrivibrio_crossotus; Victivallis_vadensis,5,propionate+butyrate+mucin,3,2,0.194,0.235,0.79,0.5937
6659,西欧,Bifidobacterium_animalis; Bacteroides_salyersiae; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Victivallis_vadensis,5,propionate+mucin,2,2,0.232,0.172,0.83,0.5937
6660,西欧,Bacteroides_dorei; Bacteroides_salyersiae; Alistipes_indistinctus; Parabacteroides_goldsteinii; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,3,0.15,0.196,0.87,0.5937
6661,西欧,Bacteroides_cellulosilyticus; Bacteroides_dorei; Parabacteroides_goldsteinii,3,propionate+mucin,2,1,0.145,0.266,0.933,0.5937
6662,西欧,Bacteroides_cellulosilyticus; Bacteroides_dorei; Bacteroides_intestinalis; Bacteroides_salyersiae; Alistipes_indistinctus,5,propionate+mucin,2,3,0.181,0.25,0.92,0.5937
6663,西欧,Bifidobacterium_animalis; Bacteroides_cellulosilyticus; Bacteroides_salyersiae; Alistipes_putredinis; Eubacterium_siraeum,5,propionate+mucin,2,2,0.207,0.269,0.9,0.5937
6664,西欧,Bacteroides_intestinalis; Bacteroides_salyersiae; Odoribacter_splanchnicus; Intestinimonas_butyriciproducens; Ruminococcus_lactaris,5,propionate+butyrate+mucin,3,2,0.201,0.193,0.82,0.5937
6665,西欧,Bifidobacterium_longum; Barnesiella_intestinihominis; Ruminococcus_lactaris; Akkermansia_muciniphila,4,propionate+mucin,2,1,0.225,0.244,0.85,0.5937
6666,西欧,Bacteroides_cellulosilyticus; Bacteroides_dorei; Intestinimonas_butyriciproducens; Victivallis_vadensis,4,propionate+butyrate+mucin,3,1,0.189,0.237,0.825,0.5937
6667,西欧,Bacteroides_cellulosilyticus; Alistipes_indistinctus; Alistipes_putredinis; Butyrivibrio_crossotus; Fretibacterium_fastidiosum,5,propionate+butyrate+mucin,3,2,0.162,0.25,0.8,0.5937
6668,西欧,Bacteroides_cellulosilyticus; Bacteroides_salyersiae; Eubacterium_eligens; Ruminococcus_lactaris; Akkermansia_muciniphila,5,propionate+mucin,2,2,0.214,0.285,0.88,0.5937
6669,西欧,Bacteroides_cellulosilyticus; Bacteroides_dorei; Alistipes_indistinctus; Alistipes_putredinis; Turicibacter_sanguinis,5,propionate+mucin,2,2,0.213,0.254,0.83,0.5937
6670,西欧,Bacteroides_dorei; Alistipes_putredinis; Butyrivibrio_crossotus; Ruminococcus_lactaris; Victivallis_vadensis,5,propionate+butyrate+mucin,3,2,0.19,0.246,0.77,0.5937
6671,西欧,Odoribacter_splanchnicus; Alistipes_putredinis; Intestinimonas_butyriciproducens; Ruminococcus_lactaris; Turicibacter_sanguinis,5,propionate+butyrate+mucin,3,1,0.233,0.197,0.73,0.5937
6672,西欧,Bifidobacterium_animalis; Bacteroides_cellulosilyticus; Bacteroides_salyersiae; Alistipes_indistinctus; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,2,0.161,0.231,0.88,0.5937
6673,西欧,Bifidobacterium_animalis; Bacteroides_dorei; Barnesiella_intestinihominis; Alistipes_indistinctus; Parabacteroides_goldsteinii,5,propionate+mucin,2,2,0.176,0.211,0.88,0.5936
6674,西欧,Bifidobacterium_animalis; Bacteroides_dorei; Barnesiella_intestinihominis; Butyrivibrio_crossotus; Victivallis_vadensis,5,propionate+butyrate+mucin,3,2,0.176,0.233,0.83,0.5936
6675,西欧,Bacteroides_salyersiae; Odoribacter_splanchnicus; Parabacteroides_goldsteinii; Victivallis_vadensis; Akkermansia_muciniphila,5,propionate+mucin,2,4,0.195,0.177,0.86,0.5936
6676,西欧,Bacteroides_cellulosilyticus; Alistipes_indistinctus; Ruminococcus_lactaris,3,propionate+mucin,2,1,0.193,0.278,0.8,0.5936
6677,西欧,Bifidobacterium_longum; Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Parabacteroides_goldsteinii; Eubacterium_siraeum,5,propionate+mucin,2,2,0.196,0.254,0.89,0.5936
6678,西欧,Bifidobacterium_animalis; Bacteroides_cellulosilyticus; Alistipes_indistinctus; Parabacteroides_goldsteinii; Akkermansia_muciniphila,5,propionate+mucin,2,3,0.151,0.25,0.92,0.5936
6679,西欧,Bifidobacterium_animalis; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Intestinimonas_butyriciproducens; Turicibacter_sanguinis,5,propionate+butyrate+mucin,3,1,0.219,0.184,0.79,0.5936
6680,西欧,Barnesiella_intestinihominis; Parabacteroides_goldsteinii; Eubacterium_siraeum; Victivallis_vadensis; Akkermansia_muciniphila,5,propionate+mucin,2,4,0.217,0.225,0.84,0.5936
6681,西欧,Bacteroides_intestinalis; Odoribacter_splanchnicus; Eubacterium_eligens; Eubacterium_siraeum,4,propionate+mucin,2,2,0.261,0.249,0.863,0.5936
6682,西欧,Bifidobacterium_longum; Barnesiella_intestinihominis; Parabacteroides_goldsteinii; Intestinimonas_butyriciproducens; Eubacterium_eligens,5,propionate+butyrate+mucin,3,1,0.199,0.209,0.85,0.5936
6683,西欧,Bacteroides_cellulosilyticus; Bacteroides_dorei; Bacteroides_salyersiae; Ruminococcus_lactaris; Akkermansia_muciniphila,5,propionate+mucin,2,2,0.192,0.278,0.9,0.5936
6684,西欧,Bacteroides_dorei; Bacteroides_intestinalis; Eubacterium_eligens; Butyrivibrio_crossotus,4,propionate+butyrate+mucin,3,2,0.171,0.287,0.887,0.5936
6685,西欧,Bifidobacterium_animalis; Bacteroides_cellulosilyticus; Butyrivibrio_crossotus; Victivallis_vadensis; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,3,0.151,0.273,0.87,0.5936
6686,西欧,Bifidobacterium_animalis; Bacteroides_intestinalis; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Ruminococcus_lactaris,5,propionate+mucin,2,1,0.227,0.207,0.83,0.5936
6687,西欧,Bacteroides_cellulosilyticus; Odoribacter_splanchnicus; Alistipes_putredinis; Parabacteroides_goldsteinii; Fretibacterium_fastidiosum,5,propionate+mucin,2,1,0.191,0.195,0.82,0.5936
6688,西欧,Bifidobacterium_longum; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Butyrivibrio_crossotus; Turicibacter_sanguinis,5,propionate+butyrate+mucin,3,2,0.202,0.215,0.8,0.5936
6689,西欧,Bacteroides_cellulosilyticus; Bacteroides_salyersiae; Barnesiella_intestinihominis; Turicibacter_sanguinis,4,propionate+mucin,2,2,0.217,0.237,0.838,0.5936
6690,西欧,Bifidobacterium_animalis; Bacteroides_salyersiae; Odoribacter_splanchnicus; Intestinimonas_butyriciproducens,4,propionate+butyrate+mucin,3,1,0.189,0.177,0.863,0.5936
6691,西欧,Bifidobacterium_animalis; Bacteroides_dorei; Bacteroides_intestinalis; Alistipes_putredinis,4,propionate+mucin,2,1,0.192,0.235,0.912,0.5936
6692,西欧,Bacteroides_dorei; Bacteroides_salyersiae; Alistipes_putredinis; Parabacteroides_goldsteinii; Eubacterium_siraeum,5,propionate+mucin,2,3,0.195,0.234,0.89,0.5936
6693,西欧,Bifidobacterium_animalis; Alistipes_indistinctus; Butyrivibrio_crossotus; Akkermansia_muciniphila,4,propionate+butyrate+mucin,3,3,0.139,0.27,0.887,0.5936
6694,西欧,Bifidobacterium_longum; Bacteroides_salyersiae; Odoribacter_splanchnicus; Butyrivibrio_crossotus,4,propionate+butyrate+mucin,3,2,0.168,0.215,0.875,0.5936
6695,西欧,Bifidobacterium_longum; Barnesiella_intestinihominis; Butyrivibrio_crossotus; Eubacterium_siraeum,4,propionate+butyrate+mucin,3,2,0.195,0.275,0.85,0.5935
6696,西欧,Bacteroides_dorei; Odoribacter_splanchnicus; Alistipes_putredinis; Eubacterium_siraeum; Fretibacterium_fastidiosum,5,propionate+mucin,2,1,0.227,0.211,0.81,0.5935
6697,西欧,Odoribacter_splanchnicus; Alistipes_putredinis; Eubacterium_eligens; Eubacterium_siraeum; Ruminococcus_lactaris,5,propionate+mucin,2,1,0.283,0.255,0.79,0.5935
6698,西欧,Bifidobacterium_animalis; Bifidobacterium_longum; Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0,0.189,0.237,0.88,0.5935
6699,西欧,Bacteroides_cellulosilyticus; Alistipes_indistinctus; Intestinimonas_butyriciproducens; Butyrivibrio_crossotus; Eubacterium_siraeum,5,propionate+butyrate+mucin,3,3,0.172,0.292,0.83,0.5935
6700,西欧,Bifidobacterium_animalis; Bacteroides_dorei; Alistipes_indistinctus; Eubacterium_siraeum; Akkermansia_muciniphila,5,propionate+mucin,2,3,0.187,0.266,0.91,0.5935
6701,西欧,Bacteroides_dorei; Parabacteroides_goldsteinii; Butyrivibrio_crossotus; Victivallis_vadensis; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,4,0.139,0.238,0.86,0.5935
6702,西欧,Bifidobacterium_animalis; Alistipes_putredinis; Parabacteroides_goldsteinii; Eubacterium_eligens; Akkermansia_muciniphila,5,propionate+mucin,2,2,0.2,0.243,0.9,0.5935
6703,西欧,Bacteroides_dorei; Odoribacter_splanchnicus; Alistipes_indistinctus; Intestinimonas_butyriciproducens; Fretibacterium_fastidiosum,5,propionate+butyrate+mucin,3,1,0.181,0.173,0.79,0.5935
6704,西欧,Bacteroides_intestinalis; Odoribacter_splanchnicus; Parabacteroides_goldsteinii; Ruminococcus_lactaris; Akkermansia_muciniphila,5,propionate+mucin,2,3,0.19,0.212,0.86,0.5935
6705,西欧,Odoribacter_splanchnicus; Parabacteroides_goldsteinii; Intestinimonas_butyriciproducens; Turicibacter_sanguinis; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,3,0.182,0.189,0.82,0.5935
6706,西欧,Bacteroides_cellulosilyticus; Alistipes_indistinctus; Intestinimonas_butyriciproducens; Eubacterium_eligens; Turicibacter_sanguinis,5,propionate+butyrate+mucin,3,2,0.198,0.248,0.8,0.5935
6707,西欧,Bifidobacterium_animalis; Barnesiella_intestinihominis; Intestinimonas_butyriciproducens; Eubacterium_siraeum,4,propionate+butyrate+mucin,3,1,0.215,0.237,0.838,0.5935
6708,西欧,Parabacteroides_goldsteinii; Intestinimonas_butyriciproducens; Eubacterium_siraeum; Akkermansia_muciniphila,4,propionate+butyrate+mucin,3,3,0.169,0.244,0.875,0.5934
6709,西欧,Bifidobacterium_animalis; Bacteroides_salyersiae; Barnesiella_intestinihominis; Alistipes_indistinctus; Eubacterium_siraeum,5,propionate+mucin,2,3,0.211,0.229,0.87,0.5934
6710,西欧,Bifidobacterium_longum; Barnesiella_intestinihominis; Alistipes_indistinctus; Intestinimonas_butyriciproducens; Ruminococcus_lactaris,5,propionate+butyrate+mucin,3,1,0.206,0.21,0.79,0.5934
6711,西欧,Alistipes_indistinctus; Alistipes_putredinis; Eubacterium_eligens; Turicibacter_sanguinis; Akkermansia_muciniphila,5,propionate+mucin,2,3,0.241,0.247,0.82,0.5934
6712,西欧,Bacteroides_cellulosilyticus; Bacteroides_salyersiae; Eubacterium_siraeum,3,propionate+mucin,2,2,0.202,0.297,0.917,0.5934
6713,西欧,Bifidobacterium_longum; Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Eubacterium_eligens; Victivallis_vadensis,5,propionate+mucin,2,1,0.238,0.242,0.84,0.5934
6714,西欧,Bacteroides_dorei; Bacteroides_salyersiae; Alistipes_putredinis; Eubacterium_eligens; Victivallis_vadensis,5,propionate+mucin,2,2,0.238,0.222,0.84,0.5934
6715,西欧,Alistipes_putredinis; Eubacterium_eligens; Ruminococcus_lactaris,3,propionate+mucin,2,0,0.274,0.267,0.767,0.5934
6716,西欧,Bacteroides_salyersiae; Barnesiella_intestinihominis; Parabacteroides_goldsteinii; Butyrivibrio_crossotus; Victivallis_vadensis,5,propionate+butyrate+mucin,3,4,0.163,0.202,0.82,0.5934
6717,西欧,Bifidobacterium_animalis; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Eubacterium_eligens; Eubacterium_siraeum,5,propionate+mucin,2,1,0.27,0.243,0.85,0.5934
6718,西欧,Bacteroides_intestinalis; Bacteroides_salyersiae; Alistipes_putredinis; Parabacteroides_goldsteinii,4,propionate+mucin,2,3,0.176,0.195,0.9,0.5934
6719,西欧,Bacteroides_intestinalis; Bacteroides_salyersiae; Alistipes_putredinis; Turicibacter_sanguinis; Akkermansia_muciniphila,5,propionate+mucin,2,4,0.203,0.223,0.87,0.5934
6720,西欧,Bacteroides_cellulosilyticus; Bacteroides_dorei; Alistipes_indistinctus; Intestinimonas_butyriciproducens; Turicibacter_sanguinis,5,propionate+butyrate+mucin,3,2,0.176,0.241,0.82,0.5934
6721,西欧,Bacteroides_cellulosilyticus; Bacteroides_intestinalis; Bacteroides_salyersiae; Butyrivibrio_crossotus,4,propionate+butyrate+mucin,3,3,0.141,0.282,0.912,0.5933
6722,西欧,Bifidobacterium_longum; Alistipes_putredinis; Victivallis_vadensis; Akkermansia_muciniphila,4,propionate+mucin,2,2,0.223,0.214,0.85,0.5933
6723,西欧,Bacteroides_dorei; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Turicibacter_sanguinis; Victivallis_vadensis,5,propionate+mucin,2,2,0.247,0.183,0.77,0.5933
6724,西欧,Bacteroides_cellulosilyticus; Odoribacter_splanchnicus; Parabacteroides_goldsteinii; Victivallis_vadensis,4,propionate+mucin,2,2,0.198,0.194,0.825,0.5933
6725,西欧,Bacteroides_cellulosilyticus; Odoribacter_splanchnicus; Turicibacter_sanguinis; Victivallis_vadensis; Akkermansia_muciniphila,5,propionate+mucin,2,3,0.222,0.222,0.81,0.5933
6726,西欧,Odoribacter_splanchnicus; Parabacteroides_goldsteinii; Eubacterium_eligens; Eubacterium_siraeum; Akkermansia_muciniphila,5,propionate+mucin,2,3,0.233,0.248,0.88,0.5933
6727,西欧,Bifidobacterium_animalis; Bacteroides_intestinalis; Odoribacter_splanchnicus; Alistipes_putredinis; Victivallis_vadensis,5,propionate+mucin,2,2,0.226,0.184,0.83,0.5933
6728,西欧,Bifidobacterium_animalis; Bacteroides_intestinalis; Alistipes_indistinctus; Akkermansia_muciniphila,4,propionate+mucin,2,3,0.165,0.235,0.925,0.5933
6729,西欧,Bacteroides_intestinalis; Barnesiella_intestinihominis; Parabacteroides_goldsteinii; Butyrivibrio_crossotus; Ruminococcus_lactaris,5,propionate+butyrate+mucin,3,3,0.158,0.237,0.82,0.5933
6730,西欧,Bifidobacterium_longum; Barnesiella_intestinihominis; Alistipes_putredinis; Eubacterium_siraeum; Ruminococcus_lactaris,5,propionate+mucin,2,1,0.251,0.248,0.81,0.5933
6731,西欧,Bifidobacterium_longum; Bacteroides_cellulosilyticus; Bacteroides_dorei; Barnesiella_intestinihominis; Victivallis_vadensis,5,propionate+mucin,2,1,0.216,0.235,0.86,0.5933
6732,西欧,Bacteroides_cellulosilyticus; Bacteroides_dorei; Alistipes_putredinis; Eubacterium_siraeum; Turicibacter_sanguinis,5,propionate+mucin,2,2,0.222,0.279,0.84,0.5933
6733,西欧,Bifidobacterium_longum; Bacteroides_salyersiae; Odoribacter_splanchnicus; Alistipes_putredinis; Ruminococcus_lactaris,5,propionate+mucin,2,1,0.23,0.2,0.83,0.5933
6734,西欧,Bifidobacterium_longum; Bacteroides_intestinalis; Barnesiella_intestinihominis; Eubacterium_siraeum,4,propionate+mucin,2,2,0.221,0.24,0.888,0.5933
6735,西欧,Odoribacter_splanchnicus; Intestinimonas_butyriciproducens; Butyrivibrio_crossotus; Victivallis_vadensis; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,3,0.199,0.221,0.8,0.5933
6736,西欧,Bacteroides_salyersiae; Alistipes_indistinctus; Parabacteroides_goldsteinii; Eubacterium_siraeum; Akkermansia_muciniphila,5,propionate+mucin,2,5,0.174,0.234,0.9,0.5933
6737,西欧,Bacteroides_dorei; Bacteroides_intestinalis; Alistipes_putredinis; Eubacterium_eligens; Ruminococcus_lactaris,5,propionate+mucin,2,1,0.232,0.258,0.84,0.5933
6738,西欧,Bacteroides_dorei; Bacteroides_intestinalis; Bacteroides_salyersiae; Intestinimonas_butyriciproducens; Eubacterium_eligens,5,propionate+butyrate+mucin,3,2,0.192,0.231,0.89,0.5933
6739,西欧,Bifidobacterium_longum; Bacteroides_cellulosilyticus; Odoribacter_splanchnicus; Intestinimonas_butyriciproducens; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,1,0.178,0.25,0.85,0.5933
6740,西欧,Bacteroides_salyersiae; Butyrivibrio_crossotus; Eubacterium_siraeum; Victivallis_vadensis; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,5,0.174,0.257,0.85,0.5933
6741,西欧,Bifidobacterium_animalis; Barnesiella_intestinihominis; Eubacterium_eligens,3,propionate+mucin,2,0,0.251,0.246,0.867,0.5932
6742,西欧,Alistipes_indistinctus; Alistipes_putredinis; Butyrivibrio_crossotus; Fretibacterium_fastidiosum; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,3,0.167,0.236,0.81,0.5932
6743,西欧,Bifidobacterium_animalis; Bacteroides_dorei; Bacteroides_intestinalis; Barnesiella_intestinihominis; Eubacterium_eligens,5,propionate+mucin,2,1,0.219,0.245,0.9,0.5932
6744,西欧,Bifidobacterium_longum; Bacteroides_salyersiae; Odoribacter_splanchnicus; Parabacteroides_goldsteinii; Akkermansia_muciniphila,5,propionate+mucin,2,3,0.179,0.192,0.92,0.5932
6745,西欧,Bifidobacterium_animalis; Bacteroides_dorei; Alistipes_putredinis; Intestinimonas_butyriciproducens; Ruminococcus_lactaris,5,propionate+butyrate+mucin,3,0,0.191,0.231,0.82,0.5932
6746,西欧,Bifidobacterium_longum; Bacteroides_cellulosilyticus; Intestinimonas_butyriciproducens; Eubacterium_eligens,4,propionate+butyrate+mucin,3,0,0.196,0.265,0.875,0.5932
6747,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Alistipes_indistinctus; Parabacteroides_goldsteinii; Turicibacter_sanguinis,5,propionate+mucin,2,3,0.189,0.224,0.82,0.5932
6748,西欧,Bacteroides_intestinalis; Butyrivibrio_crossotus; Eubacterium_siraeum; Ruminococcus_lactaris; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,4,0.169,0.293,0.85,0.5932
6749,西欧,Bifidobacterium_animalis; Bacteroides_cellulosilyticus; Bacteroides_intestinalis; Eubacterium_eligens; Akkermansia_muciniphila,5,propionate+mucin,2,2,0.194,0.284,0.94,0.5932
6750,西欧,Bacteroides_intestinalis; Odoribacter_splanchnicus; Alistipes_putredinis; Fretibacterium_fastidiosum,4,propionate+mucin,2,1,0.215,0.166,0.8,0.5932
6751,西欧,Bacteroides_cellulosilyticus; Bacteroides_dorei; Alistipes_indistinctus; Eubacterium_eligens; Eubacterium_siraeum,5,propionate+mucin,2,2,0.226,0.3,0.88,0.5932
6752,西欧,Bacteroides_cellulosilyticus; Alistipes_putredinis; Butyrivibrio_crossotus; Eubacterium_siraeum; Fretibacterium_fastidiosum,5,propionate+butyrate+mucin,3,2,0.17,0.275,0.81,0.5932
6753,西欧,Bifidobacterium_longum; Bacteroides_dorei; Alistipes_putredinis; Butyrivibrio_crossotus; Ruminococcus_lactaris,5,propionate+butyrate+mucin,3,1,0.174,0.262,0.83,0.5932
6754,西欧,Bifidobacterium_animalis; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Fretibacterium_fastidiosum,5,propionate+mucin,2,0,0.233,0.176,0.8,0.5932
6755,西欧,Barnesiella_intestinihominis; Butyrivibrio_crossotus; Victivallis_vadensis,3,propionate+butyrate+mucin,3,2,0.207,0.23,0.75,0.5932
6756,西欧,Intestinimonas_butyriciproducens; Eubacterium_eligens; Victivallis_vadensis; Akkermansia_muciniphila,4,propionate+butyrate+mucin,3,2,0.222,0.228,0.812,0.5932
6757,西欧,Bacteroides_salyersiae; Alistipes_indistinctus; Eubacterium_eligens; Victivallis_vadensis; Akkermansia_muciniphila,5,propionate+mucin,2,4,0.216,0.222,0.85,0.5932
6758,西欧,Parabacteroides_goldsteinii; Eubacterium_eligens; Akkermansia_muciniphila,3,propionate+mucin,2,2,0.19,0.254,0.917,0.5931
6759,西欧,Bacteroides_dorei; Odoribacter_splanchnicus; Eubacterium_siraeum; Victivallis_vadensis,4,propionate+mucin,2,2,0.243,0.214,0.812,0.5931
6760,西欧,Barnesiella_intestinihominis; Alistipes_putredinis; Parabacteroides_goldsteinii; Eubacterium_eligens; Turicibacter_sanguinis,5,propionate+mucin,2,2,0.238,0.217,0.8,0.5931
6761,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Butyrivibrio_crossotus; Turicibacter_sanguinis; Victivallis_vadensis,5,propionate+butyrate+mucin,3,3,0.189,0.247,0.77,0.5931
6762,西欧,Bacteroides_dorei; Barnesiella_intestinihominis; Alistipes_indistinctus; Eubacterium_siraeum; Turicibacter_sanguinis,5,propionate+mucin,2,3,0.225,0.24,0.81,0.5931
6763,西欧,Odoribacter_splanchnicus; Alistipes_putredinis; Parabacteroides_goldsteinii; Fretibacterium_fastidiosum; Akkermansia_muciniphila,5,propionate+mucin,2,2,0.196,0.181,0.83,0.5931
6764,西欧,Bifidobacterium_longum; Barnesiella_intestinihominis; Parabacteroides_goldsteinii; Eubacterium_siraeum; Akkermansia_muciniphila,5,propionate+mucin,2,3,0.201,0.24,0.9,0.5931
6765,西欧,Bacteroides_cellulosilyticus; Bacteroides_intestinalis; Bacteroides_salyersiae; Alistipes_putredinis; Ruminococcus_lactaris,5,propionate+mucin,2,2,0.209,0.254,0.86,0.5931
6766,西欧,Bifidobacterium_longum; Bacteroides_cellulosilyticus; Bacteroides_dorei; Intestinimonas_butyriciproducens,4,propionate+butyrate+mucin,3,0,0.168,0.256,0.9,0.5931
6767,西欧,Barnesiella_intestinihominis; Alistipes_indistinctus; Parabacteroides_goldsteinii; Intestinimonas_butyriciproducens; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,3,0.166,0.223,0.81,0.5931
6768,西欧,Bifidobacterium_animalis; Bacteroides_cellulosilyticus; Bacteroides_dorei; Bacteroides_intestinalis; Akkermansia_muciniphila,5,propionate+mucin,2,2,0.171,0.278,0.96,0.5931
6769,西欧,Barnesiella_intestinihominis; Parabacteroides_goldsteinii; Eubacterium_eligens; Butyrivibrio_crossotus; Eubacterium_siraeum,5,propionate+butyrate+mucin,3,3,0.2,0.273,0.84,0.5931
6770,西欧,Bacteroides_cellulosilyticus; Parabacteroides_goldsteinii; Intestinimonas_butyriciproducens,3,propionate+butyrate+mucin,3,1,0.137,0.236,0.867,0.5931
6771,西欧,Bacteroides_dorei; Odoribacter_splanchnicus; Intestinimonas_butyriciproducens; Turicibacter_sanguinis,4,propionate+butyrate+mucin,3,1,0.207,0.191,0.787,0.5931
6772,西欧,Bacteroides_dorei; Bacteroides_intestinalis; Parabacteroides_goldsteinii; Eubacterium_eligens; Akkermansia_muciniphila,5,propionate+mucin,2,3,0.182,0.25,0.93,0.5931
6773,西欧,Bacteroides_intestinalis; Alistipes_indistinctus; Eubacterium_eligens; Ruminococcus_lactaris; Akkermansia_muciniphila,5,propionate+mucin,2,3,0.211,0.258,0.85,0.5931
6774,西欧,Bacteroides_cellulosilyticus; Alistipes_indistinctus; Eubacterium_siraeum; Turicibacter_sanguinis; Akkermansia_muciniphila,5,propionate+mucin,2,4,0.2,0.279,0.85,0.5931
6775,西欧,Bacteroides_cellulosilyticus; Bacteroides_intestinalis; Alistipes_putredinis; Turicibacter_sanguinis,4,propionate+mucin,2,2,0.208,0.252,0.838,0.593
6776,西欧,Bacteroides_dorei; Bacteroides_salyersiae; Alistipes_indistinctus; Victivallis_vadensis; Akkermansia_muciniphila,5,propionate+mucin,2,4,0.194,0.215,0.87,0.593
6777,西欧,Bacteroides_intestinalis; Alistipes_putredinis; Parabacteroides_goldsteinii; Butyrivibrio_crossotus; Victivallis_vadensis,5,propionate+butyrate+mucin,3,4,0.156,0.214,0.82,0.593
6778,西欧,Bifidobacterium_animalis; Bacteroides_dorei; Parabacteroides_goldsteinii; Intestinimonas_butyriciproducens; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,2,0.14,0.224,0.91,0.593
6779,西欧,Bacteroides_dorei; Bacteroides_intestinalis; Alistipes_indistinctus; Ruminococcus_lactaris; Akkermansia_muciniphila,5,propionate+mucin,2,3,0.189,0.251,0.87,0.593
6780,西欧,Alistipes_indistinctus; Intestinimonas_butyriciproducens; Butyrivibrio_crossotus; Eubacterium_siraeum; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,4,0.177,0.279,0.84,0.593
6781,西欧,Bacteroides_salyersiae; Alistipes_putredinis; Parabacteroides_goldsteinii; Intestinimonas_butyriciproducens; Ruminococcus_lactaris,5,propionate+butyrate+mucin,3,2,0.178,0.2,0.81,0.593
6782,西欧,Bifidobacterium_animalis; Bacteroides_cellulosilyticus; Bacteroides_intestinalis; Bacteroides_salyersiae; Barnesiella_intestinihominis,5,propionate+mucin,2,2,0.195,0.241,0.92,0.593
6783,西欧,Bifidobacterium_animalis; Bifidobacterium_longum; Barnesiella_intestinihominis; Intestinimonas_butyriciproducens; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,1,0.194,0.223,0.89,0.593
6784,西欧,Bifidobacterium_longum; Bacteroides_dorei; Parabacteroides_goldsteinii; Butyrivibrio_crossotus; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,3,0.123,0.254,0.92,0.593
6785,西欧,Alistipes_indistinctus; Intestinimonas_butyriciproducens; Eubacterium_eligens; Turicibacter_sanguinis; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,3,0.203,0.234,0.81,0.593
6786,西欧,Bacteroides_intestinalis; Bacteroides_salyersiae; Barnesiella_intestinihominis; Parabacteroides_goldsteinii; Eubacterium_eligens,5,propionate+mucin,2,3,0.205,0.213,0.89,0.593
6787,西欧,Barnesiella_intestinihominis; Alistipes_indistinctus; Butyrivibrio_crossotus; Turicibacter_sanguinis,4,propionate+butyrate+mucin,3,3,0.186,0.237,0.763,0.593
6788,西欧,Barnesiella_intestinihominis; Alistipes_putredinis; Parabacteroides_goldsteinii; Butyrivibrio_crossotus; Fretibacterium_fastidiosum,5,propionate+butyrate+mucin,3,2,0.164,0.206,0.79,0.5929
