rank,members,n_strains,axes,n_axes,diversity_mean,effect_mean_g,propionate_frac,culturability_mean,genus_diversity,spore_frac,composite_v2
5805,Barnesiella_intestinihominis; Eubacterium_eligens; Bacteroides_cellulosilyticus; Bacteroides_salyersiae; Fretibacterium_fastidiosum,5,propionate+mucin,2,0.211,0.257,0.6,0.84,0.8,0.2,0.63
5806,Odoribacter_splanchnicus; Victivallis_vadensis; Bacteroides_dorei; Butyrivibrio_crossotus; Parabacteroides_goldsteinii,5,propionate+butyrate+mucin,3,0.175,0.189,0.6,0.82,1.0,0.2,0.63
5807,Odoribacter_splanchnicus; Bacteroides_cellulosilyticus; Alistipes_indistinctus; Ruminococcus_lactaris; Parabacteroides_goldsteinii,5,propionate+mucin,2,0.191,0.217,0.8,0.82,1.0,0.2,0.63
5808,Barnesiella_intestinihominis; Alistipes_putredinis; Ruminococcus_lactaris; Butyrivibrio_crossotus; Fretibacterium_fastidiosum,5,propionate+butyrate+mucin,3,0.197,0.232,0.4,0.74,1.0,0.4,0.63
5809,Barnesiella_intestinihominis; Eubacterium_eligens; Alistipes_indistinctus; Bacteroides_salyersiae; Fretibacterium_fastidiosum,5,propionate+mucin,2,0.208,0.238,0.6,0.81,1.0,0.2,0.63
5810,Barnesiella_intestinihominis; Eubacterium_siraeum; Bacteroides_dorei; Butyrivibrio_crossotus; Bifidobacterium_longum,5,propionate+butyrate+mucin,3,0.198,0.208,0.4,0.87,1.0,0.4,0.63
5811,Akkermansia_muciniphila; Bacteroides_cellulosilyticus; Victivallis_vadensis; Alistipes_indistinctus; Bacteroides_dorei,5,propionate+mucin,2,0.205,0.2,0.8,0.87,0.8,0.0,0.63
5812,Barnesiella_intestinihominis; Alistipes_putredinis; Butyrivibrio_crossotus; Bifidobacterium_longum; Fretibacterium_fastidiosum,5,propionate+butyrate+mucin,3,0.183,0.223,0.4,0.8,1.0,0.2,0.6299
5813,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Turicibacter_sanguinis; Fretibacterium_fastidiosum,5,propionate+mucin,2,0.239,0.207,0.6,0.74,1.0,0.2,0.6299
5814,Barnesiella_intestinihominis; Akkermansia_muciniphila; Victivallis_vadensis; Intestinimonas_butyriciproducens; Fretibacterium_fastidiosum,5,propionate+butyrate+mucin,3,0.194,0.213,0.4,0.77,1.0,0.2,0.6299
5815,Odoribacter_splanchnicus; Alistipes_putredinis; Eubacterium_siraeum; Ruminococcus_lactaris,4,propionate+mucin,2,0.273,0.201,0.5,0.775,1.0,0.5,0.6299
5816,Odoribacter_splanchnicus; Alistipes_indistinctus; Bacteroides_dorei; Fretibacterium_fastidiosum,4,propionate+mucin,2,0.189,0.217,0.75,0.8,1.0,0.0,0.6299
5817,Odoribacter_splanchnicus; Bacteroides_cellulosilyticus; Bacteroides_dorei; Fretibacterium_fastidiosum,4,propionate+mucin,2,0.193,0.24,0.75,0.838,0.75,0.0,0.6299
5818,Eubacterium_eligens; Bacteroides_cellulosilyticus; Victivallis_vadensis; Intestinimonas_butyriciproducens; Parabacteroides_goldsteinii,5,propionate+butyrate+mucin,3,0.183,0.237,0.4,0.82,1.0,0.4,0.6299
5819,Odoribacter_splanchnicus; Bacteroides_dorei; Intestinimonas_butyriciproducens; Bifidobacterium_animalis; Parabacteroides_goldsteinii,5,propionate+butyrate+mucin,3,0.161,0.199,0.6,0.87,1.0,0.2,0.6299
5820,Alistipes_putredinis; Eubacterium_eligens; Akkermansia_muciniphila; Bifidobacterium_longum,4,propionate+mucin,2,0.245,0.196,0.5,0.9,1.0,0.25,0.6299
5821,Alistipes_putredinis; Eubacterium_eligens; Bacteroides_cellulosilyticus; Bacteroides_intestinalis; Bifidobacterium_animalis,5,propionate+mucin,2,0.218,0.237,0.6,0.9,0.8,0.2,0.6299
5822,Eubacterium_eligens; Bacteroides_dorei; Butyrivibrio_crossotus,3,propionate+butyrate+mucin,3,0.201,0.241,0.33,0.867,1.0,0.67,0.6299
5823,Barnesiella_intestinihominis; Alistipes_putredinis; Akkermansia_muciniphila; Victivallis_vadensis; Bifidobacterium_animalis,5,propionate+mucin,2,0.239,0.172,0.6,0.84,1.0,0.0,0.6298
5824,Odoribacter_splanchnicus; Akkermansia_muciniphila; Bacteroides_salyersiae; Bifidobacterium_longum,4,propionate+mucin,2,0.208,0.169,0.75,0.925,1.0,0.0,0.6298
5825,Eubacterium_eligens; Alistipes_indistinctus; Bacteroides_dorei; Intestinimonas_butyriciproducens; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,0.191,0.242,0.4,0.83,1.0,0.6,0.6298
5826,Barnesiella_intestinihominis; Bacteroides_intestinalis; Butyrivibrio_crossotus; Parabacteroides_goldsteinii; Fretibacterium_fastidiosum,5,propionate+butyrate+mucin,3,0.136,0.243,0.6,0.82,1.0,0.2,0.6298
5827,Eubacterium_eligens; Bacteroides_cellulosilyticus; Bacteroides_dorei; Intestinimonas_butyriciproducens; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,0.194,0.26,0.4,0.86,0.8,0.6,0.6298
5828,Eubacterium_eligens; Akkermansia_muciniphila; Victivallis_vadensis; Bacteroides_salyersiae; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,0.199,0.209,0.4,0.85,1.0,0.4,0.6298
5829,Bacteroides_cellulosilyticus; Alistipes_indistinctus; Intestinimonas_butyriciproducens; Turicibacter_sanguinis,4,propionate+butyrate+mucin,3,0.173,0.244,0.5,0.787,1.0,0.5,0.6298
5830,Alistipes_putredinis; Bacteroides_cellulosilyticus; Victivallis_vadensis; Intestinimonas_butyriciproducens; Turicibacter_sanguinis,5,propionate+butyrate+mucin,3,0.206,0.216,0.4,0.76,1.0,0.4,0.6298
5831,Odoribacter_splanchnicus; Bacteroides_cellulosilyticus; Alistipes_indistinctus; Bifidobacterium_longum; Parabacteroides_goldsteinii,5,propionate+mucin,2,0.178,0.208,0.8,0.88,1.0,0.0,0.6298
5832,Barnesiella_intestinihominis; Alistipes_indistinctus; Butyrivibrio_crossotus; Bifidobacterium_animalis; Parabacteroides_goldsteinii,5,propionate+butyrate+mucin,3,0.152,0.215,0.6,0.85,1.0,0.2,0.6298
5833,Eubacterium_eligens; Akkermansia_muciniphila; Bacteroides_intestinalis; Parabacteroides_goldsteinii,4,propionate+mucin,2,0.186,0.221,0.75,0.925,1.0,0.25,0.6298
5834,Odoribacter_splanchnicus; Eubacterium_siraeum; Bacteroides_intestinalis; Parabacteroides_goldsteinii,4,propionate+mucin,2,0.197,0.214,0.75,0.875,1.0,0.25,0.6297
5835,Odoribacter_splanchnicus; Eubacterium_eligens; Akkermansia_muciniphila; Fretibacterium_fastidiosum,4,propionate+mucin,2,0.23,0.23,0.5,0.825,1.0,0.25,0.6297
5836,Odoribacter_splanchnicus; Eubacterium_eligens; Ruminococcus_lactaris; Intestinimonas_butyriciproducens,4,propionate+butyrate+mucin,3,0.247,0.221,0.25,0.762,1.0,0.75,0.6297
5837,Eubacterium_eligens; Eubacterium_siraeum; Bacteroides_cellulosilyticus; Butyrivibrio_crossotus,4,propionate+butyrate+mucin,3,0.216,0.28,0.25,0.863,0.75,0.75,0.6297
5838,Barnesiella_intestinihominis; Bacteroides_intestinalis; Intestinimonas_butyriciproducens; Bacteroides_salyersiae; Turicibacter_sanguinis,5,propionate+butyrate+mucin,3,0.191,0.211,0.6,0.82,0.8,0.4,0.6297
5839,Odoribacter_splanchnicus; Eubacterium_siraeum; Victivallis_vadensis; Bacteroides_salyersiae; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,0.208,0.204,0.4,0.81,1.0,0.4,0.6297
5840,Eubacterium_eligens; Akkermansia_muciniphila; Intestinimonas_butyriciproducens; Bacteroides_salyersiae; Bifidobacterium_animalis,5,propionate+butyrate+mucin,3,0.186,0.219,0.4,0.9,1.0,0.4,0.6297
5841,Alistipes_putredinis; Akkermansia_muciniphila; Bacteroides_intestinalis; Turicibacter_sanguinis,4,propionate+mucin,2,0.215,0.194,0.75,0.85,1.0,0.25,0.6297
5842,Odoribacter_splanchnicus; Eubacterium_siraeum; Akkermansia_muciniphila; Victivallis_vadensis; Alistipes_indistinctus,5,propionate+mucin,2,0.244,0.187,0.6,0.82,1.0,0.2,0.6297
5843,Alistipes_putredinis; Eubacterium_eligens; Bacteroides_cellulosilyticus; Ruminococcus_lactaris; Bacteroides_intestinalis,5,propionate+mucin,2,0.237,0.238,0.6,0.84,0.8,0.4,0.6297
5844,Alistipes_putredinis; Eubacterium_siraeum; Akkermansia_muciniphila; Victivallis_vadensis; Bacteroides_dorei,5,propionate+mucin,2,0.24,0.186,0.6,0.85,1.0,0.2,0.6297
5845,Odoribacter_splanchnicus; Bacteroides_dorei; Ruminococcus_lactaris; Intestinimonas_butyriciproducens; Parabacteroides_goldsteinii,5,propionate+butyrate+mucin,3,0.18,0.2,0.6,0.81,1.0,0.4,0.6297
5846,Barnesiella_intestinihominis; Alistipes_putredinis; Akkermansia_muciniphila; Victivallis_vadensis; Ruminococcus_lactaris,5,propionate+mucin,2,0.258,0.173,0.6,0.78,1.0,0.2,0.6296
5847,Odoribacter_splanchnicus; Eubacterium_siraeum; Intestinimonas_butyriciproducens; Bacteroides_salyersiae; Bifidobacterium_animalis,5,propionate+butyrate+mucin,3,0.195,0.213,0.4,0.86,1.0,0.4,0.6296
5848,Eubacterium_siraeum; Alistipes_indistinctus; Bacteroides_dorei; Butyrivibrio_crossotus; Parabacteroides_goldsteinii,5,propionate+butyrate+mucin,3,0.153,0.229,0.6,0.86,1.0,0.4,0.6296
5849,Barnesiella_intestinihominis; Bacteroides_cellulosilyticus; Parabacteroides_goldsteinii; Fretibacterium_fastidiosum,4,propionate+mucin,2,0.157,0.256,0.75,0.825,1.0,0.0,0.6296
5850,Eubacterium_eligens; Bacteroides_dorei; Bacteroides_intestinalis; Butyrivibrio_crossotus,4,propionate+butyrate+mucin,3,0.191,0.237,0.5,0.887,0.75,0.5,0.6296
5851,Eubacterium_siraeum; Bacteroides_cellulosilyticus; Bacteroides_dorei; Butyrivibrio_crossotus; Parabacteroides_goldsteinii,5,propionate+butyrate+mucin,3,0.156,0.248,0.6,0.89,0.8,0.4,0.6296
5852,Barnesiella_intestinihominis; Alistipes_indistinctus; Ruminococcus_lactaris; Butyrivibrio_crossotus; Parabacteroides_goldsteinii,5,propionate+butyrate+mucin,3,0.171,0.216,0.6,0.79,1.0,0.4,0.6296
5853,Barnesiella_intestinihominis; Bacteroides_salyersiae; Butyrivibrio_crossotus; Bifidobacterium_animalis,4,propionate+butyrate+mucin,3,0.17,0.211,0.5,0.875,1.0,0.25,0.6296
5854,Barnesiella_intestinihominis; Alistipes_putredinis; Victivallis_vadensis; Alistipes_indistinctus; Parabacteroides_goldsteinii,5,propionate+mucin,2,0.224,0.187,0.8,0.79,0.8,0.0,0.6296
5855,Odoribacter_splanchnicus; Akkermansia_muciniphila; Victivallis_vadensis; Bacteroides_dorei; Bacteroides_intestinalis,5,propionate+mucin,2,0.226,0.171,0.8,0.87,0.8,0.0,0.6296
5856,Alistipes_putredinis; Eubacterium_eligens; Bacteroides_cellulosilyticus; Bacteroides_intestinalis; Bifidobacterium_longum,5,propionate+mucin,2,0.223,0.229,0.6,0.9,0.8,0.2,0.6296
5857,Akkermansia_muciniphila; Bacteroides_cellulosilyticus; Intestinimonas_butyriciproducens; Turicibacter_sanguinis; Parabacteroides_goldsteinii,5,propionate+butyrate+mucin,3,0.154,0.229,0.6,0.85,1.0,0.4,0.6296
5858,Odoribacter_splanchnicus; Akkermansia_muciniphila; Turicibacter_sanguinis; Butyrivibrio_crossotus,4,propionate+butyrate+mucin,3,0.203,0.197,0.5,0.812,1.0,0.5,0.6296
5859,Barnesiella_intestinihominis; Eubacterium_eligens; Eubacterium_siraeum; Bacteroides_salyersiae,4,propionate+mucin,2,0.267,0.23,0.5,0.863,0.75,0.5,0.6295
5860,Barnesiella_intestinihominis; Bacteroides_cellulosilyticus; Alistipes_indistinctus; Bacteroides_salyersiae; Turicibacter_sanguinis,5,propionate+mucin,2,0.209,0.219,0.8,0.83,0.8,0.2,0.6295
5861,Odoribacter_splanchnicus; Bacteroides_dorei; Intestinimonas_butyriciproducens; Bifidobacterium_longum; Parabacteroides_goldsteinii,5,propionate+butyrate+mucin,3,0.166,0.191,0.6,0.87,1.0,0.2,0.6295
5862,Alistipes_putredinis; Eubacterium_eligens; Victivallis_vadensis; Bacteroides_dorei,4,propionate+mucin,2,0.259,0.192,0.5,0.812,1.0,0.25,0.6295
5863,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_indistinctus; Turicibacter_sanguinis; Parabacteroides_goldsteinii,5,propionate+mucin,2,0.214,0.191,0.8,0.79,1.0,0.2,0.6295
5864,Alistipes_putredinis; Bacteroides_cellulosilyticus; Victivallis_vadensis; Butyrivibrio_crossotus; Bifidobacterium_animalis,5,propionate+butyrate+mucin,3,0.183,0.218,0.4,0.83,1.0,0.2,0.6295
5865,Eubacterium_eligens; Alistipes_indistinctus; Bacteroides_dorei; Intestinimonas_butyriciproducens; Fretibacterium_fastidiosum,5,propionate+butyrate+mucin,3,0.176,0.249,0.4,0.8,1.0,0.4,0.6295
5866,Eubacterium_eligens; Bacteroides_cellulosilyticus; Bacteroides_dorei; Intestinimonas_butyriciproducens; Fretibacterium_fastidiosum,5,propionate+butyrate+mucin,3,0.179,0.268,0.4,0.83,0.8,0.4,0.6295
5867,Bacteroides_cellulosilyticus; Alistipes_indistinctus; Bacteroides_intestinalis; Intestinimonas_butyriciproducens; Turicibacter_sanguinis,5,propionate+butyrate+mucin,3,0.17,0.24,0.6,0.82,0.8,0.4,0.6295
5868,Eubacterium_eligens; Akkermansia_muciniphila; Ruminococcus_lactaris; Intestinimonas_butyriciproducens; Bacteroides_salyersiae,5,propionate+butyrate+mucin,3,0.205,0.22,0.4,0.84,1.0,0.6,0.6295
5869,Eubacterium_eligens; Eubacterium_siraeum; Bacteroides_cellulosilyticus; Bacteroides_intestinalis; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,0.205,0.269,0.4,0.88,0.6,0.6,0.6294
5870,Alistipes_putredinis; Alistipes_indistinctus; Intestinimonas_butyriciproducens; Bacteroides_salyersiae; Turicibacter_sanguinis,5,propionate+butyrate+mucin,3,0.194,0.213,0.6,0.79,0.8,0.4,0.6294
5871,Barnesiella_intestinihominis; Bacteroides_intestinalis; Bacteroides_salyersiae; Butyrivibrio_crossotus; Bifidobacterium_animalis,5,propionate+butyrate+mucin,3,0.168,0.213,0.6,0.89,0.8,0.2,0.6294
5872,Barnesiella_intestinihominis; Alistipes_putredinis; Akkermansia_muciniphila; Victivallis_vadensis; Bifidobacterium_longum,5,propionate+mucin,2,0.244,0.164,0.6,0.84,1.0,0.0,0.6294
5873,Odoribacter_splanchnicus; Eubacterium_eligens; Bacteroides_cellulosilyticus; Bacteroides_intestinalis; Fretibacterium_fastidiosum,5,propionate+mucin,2,0.211,0.256,0.6,0.84,0.8,0.2,0.6294
5874,Odoribacter_splanchnicus; Eubacterium_siraeum; Ruminococcus_lactaris; Intestinimonas_butyriciproducens; Bacteroides_salyersiae,5,propionate+butyrate+mucin,3,0.214,0.215,0.4,0.8,1.0,0.6,0.6294
5875,Alistipes_putredinis; Eubacterium_eligens; Bacteroides_intestinalis; Bacteroides_salyersiae; Parabacteroides_goldsteinii,5,propionate+mucin,2,0.199,0.221,0.8,0.89,0.8,0.2,0.6294
5876,Barnesiella_intestinihominis; Alistipes_putredinis; Bacteroides_dorei; Turicibacter_sanguinis; Parabacteroides_goldsteinii,5,propionate+mucin,2,0.21,0.19,0.8,0.82,1.0,0.2,0.6294
5877,Eubacterium_eligens; Eubacterium_siraeum; Alistipes_indistinctus; Bacteroides_intestinalis; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,0.202,0.25,0.4,0.85,0.8,0.6,0.6294
5878,Barnesiella_intestinihominis; Alistipes_indistinctus; Butyrivibrio_crossotus; Bifidobacterium_longum; Parabacteroides_goldsteinii,5,propionate+butyrate+mucin,3,0.157,0.207,0.6,0.85,1.0,0.2,0.6294
5879,Barnesiella_intestinihominis; Akkermansia_muciniphila; Victivallis_vadensis; Bacteroides_intestinalis; Parabacteroides_goldsteinii,5,propionate+mucin,2,0.197,0.184,0.8,0.86,1.0,0.0,0.6294
5880,Barnesiella_intestinihominis; Ruminococcus_lactaris; Bacteroides_salyersiae; Butyrivibrio_crossotus,4,propionate+butyrate+mucin,3,0.194,0.212,0.5,0.8,1.0,0.5,0.6294
5881,Eubacterium_eligens; Akkermansia_muciniphila; Intestinimonas_butyriciproducens; Bacteroides_salyersiae; Bifidobacterium_longum,5,propionate+butyrate+mucin,3,0.191,0.211,0.4,0.9,1.0,0.4,0.6294
5882,Alistipes_putredinis; Eubacterium_siraeum; Akkermansia_muciniphila; Turicibacter_sanguinis; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,0.209,0.218,0.4,0.82,1.0,0.6,0.6294
5883,Alistipes_putredinis; Eubacterium_eligens; Eubacterium_siraeum; Akkermansia_muciniphila; Alistipes_indistinctus,5,propionate+mucin,2,0.264,0.225,0.6,0.86,0.6,0.4,0.6294
5884,Odoribacter_splanchnicus; Eubacterium_eligens; Alistipes_indistinctus; Bacteroides_intestinalis; Fretibacterium_fastidiosum,5,propionate+mucin,2,0.208,0.237,0.6,0.81,1.0,0.2,0.6294
5885,Alistipes_putredinis; Bacteroides_cellulosilyticus; Victivallis_vadensis; Ruminococcus_lactaris; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,0.202,0.219,0.4,0.77,1.0,0.4,0.6293
5886,Akkermansia_muciniphila; Intestinimonas_butyriciproducens; Parabacteroides_goldsteinii,3,propionate+butyrate+mucin,3,0.143,0.218,0.67,0.883,1.0,0.33,0.6293
5887,Alistipes_putredinis; Bacteroides_salyersiae; Butyrivibrio_crossotus; Fretibacterium_fastidiosum,4,propionate+butyrate+mucin,3,0.152,0.248,0.5,0.8,1.0,0.25,0.6293
5888,Odoribacter_splanchnicus; Eubacterium_eligens; Bacteroides_cellulosilyticus; Victivallis_vadensis; Parabacteroides_goldsteinii,5,propionate+mucin,2,0.221,0.215,0.6,0.83,1.0,0.2,0.6293
5889,Alistipes_putredinis; Eubacterium_eligens; Bacteroides_cellulosilyticus; Bacteroides_dorei; Bifidobacterium_animalis,5,propionate+mucin,2,0.224,0.227,0.6,0.9,0.8,0.2,0.6293
5890,Eubacterium_siraeum; Akkermansia_muciniphila; Bacteroides_cellulosilyticus; Bacteroides_dorei; Bacteroides_intestinalis,5,propionate+mucin,2,0.207,0.229,0.8,0.94,0.6,0.2,0.6293
5891,Eubacterium_siraeum; Akkermansia_muciniphila; Alistipes_indistinctus; Bacteroides_dorei; Bacteroides_intestinalis,5,propionate+mucin,2,0.204,0.211,0.8,0.91,0.8,0.2,0.6293
5892,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Akkermansia_muciniphila; Victivallis_vadensis; Fretibacterium_fastidiosum,5,propionate+mucin,2,0.232,0.191,0.6,0.78,1.0,0.0,0.6293
5893,Bacteroides_cellulosilyticus; Alistipes_indistinctus; Butyrivibrio_crossotus; Bifidobacterium_animalis,4,propionate+butyrate+mucin,3,0.144,0.246,0.5,0.875,1.0,0.25,0.6293
5894,Odoribacter_splanchnicus; Bacteroides_intestinalis; Intestinimonas_butyriciproducens; Turicibacter_sanguinis,4,propionate+butyrate+mucin,3,0.199,0.207,0.5,0.787,1.0,0.5,0.6293
5895,Barnesiella_intestinihominis; Victivallis_vadensis; Bacteroides_salyersiae,3,propionate+mucin,2,0.235,0.169,0.67,0.8,1.0,0.0,0.6292
5896,Odoribacter_splanchnicus; Alistipes_putredinis; Bacteroides_cellulosilyticus; Victivallis_vadensis; Turicibacter_sanguinis,5,propionate+mucin,2,0.244,0.194,0.6,0.77,1.0,0.2,0.6292
5897,Barnesiella_intestinihominis; Eubacterium_siraeum; Victivallis_vadensis; Intestinimonas_butyriciproducens,4,propionate+butyrate+mucin,3,0.239,0.209,0.25,0.762,1.0,0.5,0.6292
5898,Eubacterium_eligens; Eubacterium_siraeum; Bacteroides_cellulosilyticus; Alistipes_indistinctus,4,propionate+mucin,2,0.24,0.265,0.5,0.863,0.75,0.5,0.6292
5899,Alistipes_putredinis; Bacteroides_cellulosilyticus; Ruminococcus_lactaris; Intestinimonas_butyriciproducens; Bifidobacterium_animalis,5,propionate+butyrate+mucin,3,0.188,0.229,0.4,0.82,1.0,0.4,0.6292
5900,Odoribacter_splanchnicus; Eubacterium_siraeum; Intestinimonas_butyriciproducens; Bacteroides_salyersiae; Bifidobacterium_longum,5,propionate+butyrate+mucin,3,0.2,0.206,0.4,0.86,1.0,0.4,0.6292
5901,Akkermansia_muciniphila; Bacteroides_cellulosilyticus; Butyrivibrio_crossotus; Bifidobacterium_animalis; Parabacteroides_goldsteinii,5,propionate+butyrate+mucin,3,0.131,0.231,0.6,0.92,1.0,0.2,0.6292
5902,Barnesiella_intestinihominis; Bacteroides_salyersiae; Butyrivibrio_crossotus; Bifidobacterium_longum,4,propionate+butyrate+mucin,3,0.176,0.201,0.5,0.875,1.0,0.25,0.6292
5903,Barnesiella_intestinihominis; Ruminococcus_lactaris; Bacteroides_intestinalis; Bacteroides_salyersiae; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,0.187,0.215,0.6,0.83,0.8,0.4,0.6292
5904,Barnesiella_intestinihominis; Bacteroides_dorei; Butyrivibrio_crossotus; Parabacteroides_goldsteinii; Fretibacterium_fastidiosum,5,propionate+butyrate+mucin,3,0.142,0.233,0.6,0.82,1.0,0.2,0.6292
5905,Bacteroides_cellulosilyticus; Alistipes_indistinctus; Bacteroides_intestinalis; Butyrivibrio_crossotus; Bifidobacterium_animalis,5,propionate+butyrate+mucin,3,0.147,0.242,0.6,0.89,0.8,0.2,0.6292
5906,Alistipes_putredinis; Akkermansia_muciniphila; Victivallis_vadensis; Alistipes_indistinctus,4,propionate+mucin,2,0.24,0.178,0.75,0.812,0.75,0.0,0.6292
5907,Odoribacter_splanchnicus; Alistipes_putredinis; Butyrivibrio_crossotus; Parabacteroides_goldsteinii,4,propionate+butyrate,2,0.205,0.211,0.75,0.825,1.0,0.25,0.6292
5908,Odoribacter_splanchnicus; Bacteroides_cellulosilyticus; Intestinimonas_butyriciproducens; Butyrivibrio_crossotus; Bifidobacterium_animalis,5,propionate+butyrate+mucin,3,0.177,0.239,0.4,0.85,1.0,0.4,0.6292
5909,Alistipes_putredinis; Akkermansia_muciniphila; Alistipes_indistinctus; Bacteroides_intestinalis; Fretibacterium_fastidiosum,5,propionate+mucin,2,0.189,0.226,0.8,0.84,0.8,0.0,0.6292
5910,Barnesiella_intestinihominis; Bacteroides_dorei; Intestinimonas_butyriciproducens; Bacteroides_salyersiae; Turicibacter_sanguinis,5,propionate+butyrate+mucin,3,0.197,0.202,0.6,0.82,0.8,0.4,0.6292
5911,Alistipes_putredinis; Bacteroides_intestinalis; Bacteroides_salyersiae; Butyrivibrio_crossotus; Fretibacterium_fastidiosum,5,propionate+butyrate+mucin,3,0.154,0.243,0.6,0.83,0.8,0.2,0.6291
5912,Eubacterium_eligens; Bacteroides_cellulosilyticus; Bacteroides_dorei; Bacteroides_intestinalis,4,propionate+mucin,2,0.218,0.245,0.75,0.925,0.5,0.25,0.6291
5913,Barnesiella_intestinihominis; Alistipes_indistinctus; Bacteroides_salyersiae; Bifidobacterium_animalis,4,propionate+mucin,2,0.194,0.196,0.75,0.875,1.0,0.0,0.6291
5914,Barnesiella_intestinihominis; Bacteroides_cellulosilyticus; Bacteroides_salyersiae; Bifidobacterium_animalis,4,propionate+mucin,2,0.197,0.219,0.75,0.913,0.75,0.0,0.6291
5915,Barnesiella_intestinihominis; Alistipes_putredinis; Eubacterium_siraeum; Bacteroides_salyersiae; Turicibacter_sanguinis,5,propionate+mucin,2,0.244,0.205,0.6,0.81,1.0,0.4,0.6291
5916,Odoribacter_splanchnicus; Eubacterium_eligens; Akkermansia_muciniphila; Bacteroides_salyersiae; Bifidobacterium_animalis,5,propionate+mucin,2,0.224,0.197,0.6,0.91,1.0,0.2,0.6291
5917,Bacteroides_cellulosilyticus; Alistipes_indistinctus; Ruminococcus_lactaris; Butyrivibrio_crossotus,4,propionate+butyrate+mucin,3,0.168,0.248,0.5,0.8,1.0,0.5,0.6291
5918,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Bacteroides_intestinalis; Bacteroides_salyersiae; Turicibacter_sanguinis,5,propionate+mucin,2,0.229,0.19,0.8,0.83,0.8,0.2,0.6291
5919,Alistipes_putredinis; Eubacterium_siraeum; Bacteroides_intestinalis; Intestinimonas_butyriciproducens; Turicibacter_sanguinis,5,propionate+butyrate+mucin,3,0.205,0.226,0.4,0.8,1.0,0.6,0.6291
5920,Barnesiella_intestinihominis; Bacteroides_intestinalis; Bacteroides_salyersiae; Butyrivibrio_crossotus; Bifidobacterium_longum,5,propionate+butyrate+mucin,3,0.173,0.206,0.6,0.89,0.8,0.2,0.6291
5921,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Bifidobacterium_animalis; Parabacteroides_goldsteinii,4,propionate+mucin,2,0.204,0.184,0.75,0.862,1.0,0.0,0.6291
5922,Alistipes_putredinis; Bacteroides_cellulosilyticus; Victivallis_vadensis; Butyrivibrio_crossotus; Bifidobacterium_longum,5,propionate+butyrate+mucin,3,0.188,0.21,0.4,0.83,1.0,0.2,0.6291
5923,Akkermansia_muciniphila; Bacteroides_cellulosilyticus; Fretibacterium_fastidiosum,3,propionate+mucin,2,0.156,0.267,0.67,0.867,1.0,0.0,0.6291
5924,Alistipes_putredinis; Alistipes_indistinctus; Bacteroides_salyersiae; Butyrivibrio_crossotus; Bifidobacterium_animalis,5,propionate+butyrate+mucin,3,0.17,0.215,0.6,0.86,0.8,0.2,0.6291
5925,Eubacterium_eligens; Akkermansia_muciniphila; Bacteroides_dorei; Parabacteroides_goldsteinii,4,propionate+mucin,2,0.194,0.209,0.75,0.925,1.0,0.25,0.6291
5926,Eubacterium_eligens; Alistipes_indistinctus; Bacteroides_dorei; Bacteroides_intestinalis,4,propionate+mucin,2,0.214,0.222,0.75,0.887,0.75,0.25,0.6291
5927,Barnesiella_intestinihominis; Eubacterium_eligens; Butyrivibrio_crossotus; Fretibacterium_fastidiosum,4,propionate+butyrate+mucin,3,0.199,0.262,0.25,0.775,1.0,0.5,0.6291
5928,Alistipes_putredinis; Eubacterium_eligens; Bacteroides_cellulosilyticus; Bacteroides_dorei; Ruminococcus_lactaris,5,propionate+mucin,2,0.243,0.229,0.6,0.84,0.8,0.4,0.6291
5929,Odoribacter_splanchnicus; Akkermansia_muciniphila; Alistipes_indistinctus; Turicibacter_sanguinis,4,propionate+mucin,2,0.227,0.183,0.75,0.812,1.0,0.25,0.6291
5930,Alistipes_putredinis; Bacteroides_cellulosilyticus; Victivallis_vadensis; Alistipes_indistinctus; Bacteroides_intestinalis,5,propionate+mucin,2,0.219,0.215,0.8,0.83,0.6,0.0,0.629
5931,Odoribacter_splanchnicus; Bacteroides_cellulosilyticus; Victivallis_vadensis; Butyrivibrio_crossotus; Fretibacterium_fastidiosum,5,propionate+butyrate+mucin,3,0.176,0.237,0.4,0.77,1.0,0.2,0.629
5932,Barnesiella_intestinihominis; Eubacterium_siraeum; Akkermansia_muciniphila; Alistipes_indistinctus; Fretibacterium_fastidiosum,5,propionate+mucin,2,0.211,0.231,0.6,0.82,1.0,0.2,0.629
5933,Bacteroides_cellulosilyticus; Alistipes_indistinctus; Ruminococcus_lactaris; Bacteroides_intestinalis; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,0.166,0.243,0.6,0.83,0.8,0.4,0.629
