robust_rank,combination_id,strains,source_strain_ids,total_strain_count,retained_formulations,partial_formulations,evidence_pmid_list,functional_modules,posterior_score_mean,posterior_score_p10,posterior_score_p90,top10_probability,rank_mean,rank_p90,clinical_evidence_mean,clinical_evidence_p10,module_coverage_score,formulation_integrity_score,evidence_independence_score,genus_diversity_score,split_evidence_penalty,complexity_penalty,safety_gate,prediction_scope,recommended_prebiotic,validation_recommendation
37,ROBUST_037,Bifidobacterium animalis subsp. lactis B420; Bifidobacterium breve BBr60; Lacticaseibacillus paracasei BEPC22; Lactiplantibacillus plantarum BELP53; Bacillus coagulans BC99,BL_B420; BB_BBr60; LP_BEPC22; LPL_BELP53; BC_BC99,5,FORM_B420_LU; FORM_BBR60; FORM_BN202M; FORM_BC99,,27810310; 38999741; 39456659; 40416368,SCFA_network; amino_acid_metabolism; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; cross_feeding; fiber_response; glucose; lipid_metabolism; microbiome_shift; spore_former; waist; weight; weight_subgroup,6.765,6.021,7.483,0.0610,49.33,104.00,4.893,3.448,8.800,10.000,10.000,10.000,0.000,0.700,pending_genome_safety_gate,preclinical_validation_priority_not_response_probability,FOS/GOS optional; inulin/FOS optional; none specified; polydextrose/Litesse Ultra,complete strain-resolved genome AMR/virulence/MGE screening before validation
38,ROBUST_038,Bifidobacterium longum BB536; Bifidobacterium breve MCC1274; Lacticaseibacillus paracasei BEPC22; Lactiplantibacillus plantarum BELP53; Bacillus coagulans BC99,BL_BB536; BB_MCC1274; LP_BEPC22; LPL_BELP53; BC_BC99,5,FORM_BB536_MCC1274; FORM_BN202M; FORM_BC99,,38542727; 38999741; 40416368,barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; cross_feeding; lipid; lipid_metabolism; microbiome_shift; spore_former; visceral_fat; weight_subgroup,6.509,5.694,7.299,0.0604,91.88,211.00,4.857,3.260,7.600,10.000,10.000,10.000,0.000,0.700,pending_genome_safety_gate,preclinical_validation_priority_not_response_probability,FOS/GOS optional; inulin/FOS optional; none specified,complete strain-resolved genome AMR/virulence/MGE screening before validation
39,ROBUST_039,Bifidobacterium animalis subsp. lactis B420; Lacticaseibacillus paracasei BEPC22; Lactiplantibacillus plantarum BELP53; Bacillus coagulans BC99,BL_B420; LP_BEPC22; LPL_BELP53; BC_BC99,4,FORM_B420_LU; FORM_BN202M; FORM_BC99,,27810310; 38999741; 40416368,SCFA_network; barrier; body_fat; carbohydrate_utilization; cross_feeding; fiber_response; lipid_metabolism; microbiome_shift; spore_former; waist; weight_subgroup,6.527,5.680,7.335,0.0562,88.15,205.00,4.651,2.944,6.400,10.000,10.000,10.000,0.000,0.350,pending_genome_safety_gate,preclinical_validation_priority_not_response_probability,FOS/GOS optional; none specified; polydextrose/Litesse Ultra,complete strain-resolved genome AMR/virulence/MGE screening before validation
40,ROBUST_040,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium longum BB536,LF_K7; LF_K8; LF_K11; BL_BB536,4,FORM_LF_K7_K8_K11,FORM_BB536_MCC1274,37447365; 38542727,BMI; SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; lipid; visceral_fat; waist; weight,6.372,5.544,7.012,0.0552,128.95,311.00,8.159,6.365,9.200,5.625,6.667,5.000,0.800,0.350,pending_genome_safety_gate,preclinical_validation_priority_not_response_probability,acacia gum optional; probiotic arm strongest without synbiotic advantage; inulin/FOS optional,complete strain-resolved genome AMR/virulence/MGE screening before validation
41,ROBUST_041,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium breve MCC1274,LF_K7; LF_K8; LF_K11; BB_MCC1274,4,FORM_LF_K7_K8_K11,FORM_BB536_MCC1274,37447365; 38542727,BMI; SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; lipid; visceral_fat; waist; weight,6.372,5.544,7.012,0.0550,128.96,311.00,8.159,6.365,9.200,5.625,6.667,5.000,0.800,0.350,pending_genome_safety_gate,preclinical_validation_priority_not_response_probability,acacia gum optional; probiotic arm strongest without synbiotic advantage; inulin/FOS optional,complete strain-resolved genome AMR/virulence/MGE screening before validation
42,ROBUST_042,Bifidobacterium longum BB536; Bifidobacterium breve MCC1274; Bifidobacterium animalis subsp. lactis B420; Bifidobacterium breve BBr60; Bacillus coagulans BC99,BL_BB536; BB_MCC1274; BL_B420; BB_BBr60; BC_BC99,5,FORM_BB536_MCC1274; FORM_B420_LU; FORM_BBR60; FORM_BC99,,27810310; 38542727; 39456659; 40416368,SCFA_network; amino_acid_metabolism; barrier; bifidobacterium_niche; body_fat; fiber_response; glucose; lipid; microbiome_shift; spore_former; visceral_fat; waist; weight; weight_subgroup,6.738,5.993,7.446,0.0456,50.97,106.00,5.416,3.958,10.000,10.000,10.000,5.000,0.000,0.700,pending_genome_safety_gate,preclinical_validation_priority_not_response_probability,inulin/FOS optional; none specified; polydextrose/Litesse Ultra,complete strain-resolved genome AMR/virulence/MGE screening before validation
43,ROBUST_043,Lactobacillus fermentum K11; Bifidobacterium longum BB536; Bifidobacterium breve MCC1274,LF_K11; BL_BB536; BB_MCC1274,3,FORM_BB536_MCC1274,FORM_LF_K7_K8_K11,37447365; 38542727,BMI; SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; lipid; visceral_fat; waist; weight,5.965,4.790,7.002,0.0398,227.72,562.00,6.547,3.963,9.200,5.417,6.667,5.000,0.800,0.000,pending_genome_safety_gate,preclinical_validation_priority_not_response_probability,acacia gum optional; probiotic arm strongest without synbiotic advantage; inulin/FOS optional,complete strain-resolved genome AMR/virulence/MGE screening before validation
44,ROBUST_044,Lactobacillus fermentum K7; Bifidobacterium longum BB536; Bifidobacterium breve MCC1274,LF_K7; BL_BB536; BB_MCC1274,3,FORM_BB536_MCC1274,FORM_LF_K7_K8_K11,37447365; 38542727,BMI; SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; lipid; visceral_fat; waist; weight,5.965,4.790,7.002,0.0396,227.81,561.00,6.547,3.963,9.200,5.417,6.667,5.000,0.800,0.000,pending_genome_safety_gate,preclinical_validation_priority_not_response_probability,acacia gum optional; probiotic arm strongest without synbiotic advantage; inulin/FOS optional,complete strain-resolved genome AMR/virulence/MGE screening before validation
45,ROBUST_045,Lactobacillus fermentum K8; Bifidobacterium longum BB536; Bifidobacterium breve MCC1274,LF_K8; BL_BB536; BB_MCC1274,3,FORM_BB536_MCC1274,FORM_LF_K7_K8_K11,37447365; 38542727,BMI; SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; lipid; visceral_fat; waist; weight,5.965,4.790,7.002,0.0394,227.75,561.00,6.547,3.963,9.200,5.417,6.667,5.000,0.800,0.000,pending_genome_safety_gate,preclinical_validation_priority_not_response_probability,acacia gum optional; probiotic arm strongest without synbiotic advantage; inulin/FOS optional,complete strain-resolved genome AMR/virulence/MGE screening before validation
46,ROBUST_046,Lactobacillus fermentum K11; Bifidobacterium animalis subsp. lactis B420; Bifidobacterium breve BBr60,LF_K11; BL_B420; BB_BBr60,3,FORM_B420_LU; FORM_BBR60,FORM_LF_K7_K8_K11,27810310; 37447365; 39456659,BMI; SCFA_network; amino_acid_metabolism; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; fiber_response; glucose; waist; weight,6.355,5.430,7.250,0.0332,116.66,268.00,5.805,3.891,10.000,6.944,10.000,5.000,0.800,0.000,pending_genome_safety_gate,preclinical_validation_priority_not_response_probability,acacia gum optional; probiotic arm strongest without synbiotic advantage; inulin/FOS optional; polydextrose/Litesse Ultra,complete strain-resolved genome AMR/virulence/MGE screening before validation
47,ROBUST_047,Lactobacillus fermentum K8; Bifidobacterium animalis subsp. lactis B420; Bifidobacterium breve BBr60,LF_K8; BL_B420; BB_BBr60,3,FORM_B420_LU; FORM_BBR60,FORM_LF_K7_K8_K11,27810310; 37447365; 39456659,BMI; SCFA_network; amino_acid_metabolism; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; fiber_response; glucose; waist; weight,6.355,5.430,7.250,0.0316,116.70,267.00,5.805,3.891,10.000,6.944,10.000,5.000,0.800,0.000,pending_genome_safety_gate,preclinical_validation_priority_not_response_probability,acacia gum optional; probiotic arm strongest without synbiotic advantage; inulin/FOS optional; polydextrose/Litesse Ultra,complete strain-resolved genome AMR/virulence/MGE screening before validation
48,ROBUST_048,Lactobacillus fermentum K7; Bifidobacterium animalis subsp. lactis B420; Bifidobacterium breve BBr60,LF_K7; BL_B420; BB_BBr60,3,FORM_B420_LU; FORM_BBR60,FORM_LF_K7_K8_K11,27810310; 37447365; 39456659,BMI; SCFA_network; amino_acid_metabolism; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; fiber_response; glucose; waist; weight,6.355,5.430,7.250,0.0310,116.74,267.10,5.805,3.891,10.000,6.944,10.000,5.000,0.800,0.000,pending_genome_safety_gate,preclinical_validation_priority_not_response_probability,acacia gum optional; probiotic arm strongest without synbiotic advantage; inulin/FOS optional; polydextrose/Litesse Ultra,complete strain-resolved genome AMR/virulence/MGE screening before validation
49,ROBUST_049,Bifidobacterium lactis IDCC 4301; Bifidobacterium longum BB536; Bifidobacterium breve MCC1274; Bacillus coagulans BC99,BL_IDCC4301; BL_BB536; BB_MCC1274; BC_BC99,4,FORM_IDCC4301; FORM_BB536_MCC1274; FORM_BC99,,38542727; 39051504; 40416368,SCFA_network; barrier; bifidobacterium_niche; body_fat; lipid; microbiome_shift; spore_former; visceral_fat; weight_subgroup,6.477,5.704,7.235,0.0298,91.82,198.00,5.477,3.822,6.800,10.000,10.000,5.000,0.000,0.350,pending_genome_safety_gate,preclinical_validation_priority_not_response_probability,inulin/FOS optional; none specified,complete strain-resolved genome AMR/virulence/MGE screening before validation
50,ROBUST_050,Lactobacillus fermentum K11; Bifidobacterium breve BBr60; Bacillus coagulans BC99,LF_K11; BB_BBr60; BC_BC99,3,FORM_BBR60; FORM_BC99,FORM_LF_K7_K8_K11,37447365; 39456659; 40416368,BMI; SCFA_network; amino_acid_metabolism; bifidobacterium_niche; body_fat; carbohydrate_utilization; glucose; microbiome_shift; spore_former; waist; weight; weight_subgroup,6.195,5.206,7.173,0.0210,148.72,320.00,4.891,2.845,10.000,6.944,10.000,7.500,0.800,0.000,pending_genome_safety_gate,preclinical_validation_priority_not_response_probability,acacia gum optional; probiotic arm strongest without synbiotic advantage; inulin/FOS optional; none specified,complete strain-resolved genome AMR/virulence/MGE screening before validation
